Title,Author,ISBN Valid,Publisher,Subjects,i,Publication_Date,Category
Naufrage : roman /,"Delecroix, Vincent 1969-....",9782073032065,Gallimard,,2367,2023,
Suzanne : roman /,"Belloc, Denis",9782490356393,les Éditions du Chemin de fer,,2368,2024,
Code pénal : loi fédérale régissant la condition pénale des mineurs : code annoté de la jurisprudence fédérale et cantonale /,"Favre, Christian, juriste",9782940394289,Ed Bis & Ter,droit pénal;Suisse;[manuel]; Droit pénal; Strafrecht; Strafgesetzbuch; Suisse; Schweiz; [Législation]; Textreproduktion; Kommentar(Werk),2369,2011,Law
Code pénal /,"Yvan Jeanneret, André Kuhn",9783719024796,Helbing Lichtenhahn,Strafrecht; allgemeines Strafrecht; Strafgesetzbuch; besonderes Strafrecht; Droit pénal; Schweiz; Suisse; Textreproduktion; Kommentar(Werk); [Commentaires],2370,2009,Law
CP : Code pénal  /,Michel Dupuis,9783719037901,Helbing Lichtenhahn,Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion; Kommentar(Werk),2371,2017,Kommentar; Schweiz; Strafgesetzbuch; Strafrecht; Textreproduktion
"Code de procédure pénale suisse (CPP) annoté : Pocédure pénale applicable aux mineurs (PPMin), Loi sur le Tribunal fédéral (LTF), Loi sur l'aide aux victimes (LAVI), Loi fédérale sur le droit pénal administratif (DPA), Loi sur l'organisation des autorités pénales (LOAP), Convention européenne des droits de l'homme (CEDH) /","Perrier Depeursinge, Camille, 1983-",9783719043261,Helbing Lichtenhahn,Suisse.;Loi fédérale sur l'aide aux victimes d'infractions; Convention européenne des droits de l'homme;(1950 ;;Rome); Crime;legislation & jurisprudence; Prisons;legislation & jurisprudence; Prisoners;legislation & jurisprudence; Human Rights; Procédure pénale; Droit pénal; Criminels mineurs; Sanctions administratives; Responsabilité pénale des mineurs; Strafprozess; Bundesrecht; schweizerische Jugendstrafprozessordnung; Bundesgesetz über das Bundesgericht; Bundesgesetz über die Hilfe an Opfer von Straftaten; Bundesgesetz über das Verwaltungsstrafrecht; Bundesgesetz über die Organisation der Strafbehörden des Bundes; Switzerland; Suisse; Schweiz; [Législation]; [Commentaires]; Textreproduktion; Kommentar(Werk),2372,2020,Law
Précis de droit successoral /,"Piotet, Paul",9783727209697,Stämpfli,successions (droit);Suisse;[manuel]; Erbrecht; Schweiz; Grundlagenwerk,2373,1988,Law
Code pénal /,"Belkiz Balçin-Renklicicek, Laurent Moreillon, Alain Macaluso",9783719040413,Helbing Lichtenhahn,Schweiz;Schweizerisches Strafgesetzbuch; Strafrecht; allgemeines Strafrecht; besonderes Strafrecht; Strafgesetzbuch; Schweiz; Textreproduktion; Kommentar(Werk),2374,2020,Allgemeines; Besonderes; Schweiz; Schweizerisches; Strafrecht
CPP : Code de procédure pénale /,"Moreillon, Laurent 1956-....",9783719037963,Helbing Lichtenhahn,Strafprozess; Bundesrecht; schweizerische Strafprozessordnung; Schweiz; Textreproduktion; Kommentar(Werk),2375,2016,Bundesrecht; Schweiz; Schweizerische; Strafprozess; Textreproduktion
Droit pénal /,"Hurtado Pozo, José, 1942-",9783725555758,Schulthess,droit pénal;Suisse;[manuel]; Strafrecht; allgemeines Strafrecht; Schweiz; Grundlagenwerk,2376,2008,Law
La nouvelle partie générale du Code pénal suisse /,,9783727272066,Stämpfli,droit pénal - révision;Suisse; Strafrecht; allgemeines Strafrecht; Schweiz,2377,2006,Law
L'infraction pénale punissable /,"Graven, Philippe",9783727209833,Stämpfli,droit pénal;Suisse;[manuel]; Strafrecht; Schweiz; Grundlagenwerk,2378,1995,Law
Procédure pénale suisse /,"Piquerez, Gérard, 1945-2008",9783725563074,Schulthess,procédure pénale;Suisse;[manuel]; Strafprozess; Bundesrecht; Criminal Law; Schweiz; Switzerland; Droit de la santé; Grundlagenwerk; Handbook; Legislation,2379,2011,Law
Code de procédure pénale suisse (CPP) : Commentaire à l'usage des praticiens /,"Pitteloud, Jo, 1947-",9783037514641,Dike,Procédure pénale; Strafprozess; Bundesrecht; schweizerische Strafprozessordnung; Suisse; Schweiz; [Commentaires]; Textreproduktion; Kommentar(Werk),2380,2012,Bundesrecht; Procédure; Schweizerische; Strafprozess; Suisse
"SS-Wirtschaft und SS-Verwaltung : ""das SS-Wirtschafts-Verwaltungshauptamt und die unter seiner Dienstaufsicht stehenden wirtschaftlichen Unternehmungen"" und weitere Dokumente /","Naasner, Walter",9783770016037,Droste,administration publique;économie;Allemagne. Schutz-Staffel;1933 / 1945;[document],2381,1998,Economics
"Neue Machtzentren in der deutschen Kriegswirtschaft 1942-1945 : die Wirtschaftsorganisation der SS, das Amt des Generalbevollmächtigten für den Arbeitseinsatz und das Reichsministerium für Bewaffnung und Munition - Reichsministerium für Rüstung und Kriegsproduktion im nationalsozialistischen Herrschaftssystem /","Naasner, Walter",9783764619299,H Boldt,économie de guerre;Allemagne;1942 / 1945,2382,1994,Economics
"Le Troisième Reich dans l'historiographie allemande : lieux de pouvoir, rivalités de pouvoirs /","Jean-Paul Cahn, Stefan Martens, Bernd Wegner",9782757405819,Presses universitaires du Septentrion,National-socialisme; Historiographie; Pouvoir (sciences sociales); 1933-1945; Allemagne; [Études diverses],2383,2013,Science; Social Science
Paying for Hitler's war : the consequences of Nazi hegemony for Europe /,"Jonas Scherner, Eugene N. White",9781107049703,Cambridge Univ Press,Occupation militaire; Économie politique; Guerre mondiale (1939-1945); Troisième Reich (Allemagne ; 1933-1945); 20e siècle (milieu); Allemagne; Europe; Europe - Occupation allemande (1939-1945),2384,2016,Economics; Politics
Kriegstagebuch des Oberkommandos der Wehrmacht : (Wehrmachtführungsstab) : 1940-1945 /,"Germany. Oberkommando der Wehrmacht, Germany. Wehrmacht. Oberkommando",,Bernard und Graefe Verlag für Wehrwesen,guerre mondiale 2;[document],2385,1961,Document; Guerre
Geschichte der deutschen Kriegswirtschaft : 1939-1945 /,"Eichholtz, Dietrich",9783110964899,Akademie-Verlag,,2386,2013,History
Flugzeugindustrie und Luftrüstung in Deutschland 1918-1945 /,"Budrass, Lutz",9783770016044,Droste,aviation;industrie;Allemagne;1918 / 1945; armement;Allemagne. Armée de l'air;1918 / 1945,2387,1998,Allemagne; Armement; Aviation; Industrie
Das Reichswirtschaftsministerium in der NS-Zeit : Wirtschaftsordnung und Verbrechenskomplex /,"Werner Abelshauser, Stefan Fisch, Dierk Hoffmann",9783110462814,De Gruyter Oldenbourg,Deutschland;Wirtschaftsministerium; Geschichte 1933-1945; Drittes Reich; Wirtschaftspolitik; Deutschland,2388,2016,Deutschland; Drittes; Geschichte; Wirtschaftsministerium; Wirtschaftspolitik
Les Aztèques /,"Matos Moctezuma, Eduardo",9782737701702,La Manufacture,Aztèque (peuple);civilisation précolombienne; art précolombien;Aztèque (peuple),2389,1990,Art
Germany and the Second World War /,Wilhelm Deist,9780198228660,Oxford University Press; Clarendon Press,"World War;(1939-1945); 1933-1945; Guerre mondiale (1939-1945);Allemagne; Politique et gouvernement;Allemagne;1933-1945; World War, 1939-1945;Germany; Guerre mondiale, 1939-1945;Allemagne.; Germany; Germany;History;1933-1945; Allemagne;Histoire;1933-1945.; History",2390,1990,History; Politics
Le nazisme et l'Antiquité /,"Chapoutot, Johann, 1978-",9782130608998,PUF,Antiquité; Jeux olympiques d'été;(11 ;;1936 ;;Berlin); Manuels d'enseignement; National-socialisme,2391,2012,Education
Le destin brisé de l'empire aztèque /,"Gruzinski, Serge",9782070348763,Gallimard,Aztèques; Aztèque (peuple);12e s. / 16e s.; Empire aztèque; Ouvrages pour la jeunesse,2392,2010,Aztèque; Aztèques; Empire; Ouvrages
Le Grand Atlas de l'Empire romain /,"Elena Castillo, Fernando Lozano Gomez, Jaume Aurell Cardona",9782344050569,Glénat,"Empereurs;Rome; Néron;(empereur romain); Tibère;(empereur romain); Caligula;(empereur romain); Auguste;(empereur romain); Villas romaines; Pompéi (Italie); Domitien;(empereur romain); Flaviens;(dynastie); Nabatéens; Rome; Architecture romaine; Armées;Rome; Banquets; Naumachies; Massada (Israël ; site archéologique);Siège (72-73); Christianisme;30-600 (Église primitive); Galien, Claude; Médecine ancienne; Rome (Italie);Colosseo; Rome;476 (Fin de l'empire d'Occident); Établissements thermaux; Constantin;(empereur romain ;;1); Rome;284-476 (Bas-Empire); Basiliques; Civilisation;Rome; Géographie historique;Rome; Atlas",2393,2021,Geography; History
Der stille Krieg : der Wirtschaftskrieg zwischen Grossbritannien und der Schweiz im Zweiten Weltkrieg /,"Inglin, Oswald",9783858233141,Verlag Neue Zürcher Zeitung,guerre économique;neutralité;Grande-Bretagne;Suisse;guerre mondiale 2; commerce extérieur;neutralité;Grande-Bretagne;Suisse;guerre mondiale 2,2394,1991,Grande; Guerre; Neutralité; Suisse
Nazi looting : the plunder of Dutch Jewry during the Second World War /,"Aalders, Gerard",9781859737224,Berg,Juif;spoliation;Pays-Bas;1939 / 1945,2395,2004,Spoliation
Die Deutsche Bank und ihre Goldtransaktionen während des Zweiten Weltkrieges /,"Steinberg, Jonathan",9783406445514,CH Beck,banque;or (monnaie);Allemagne;guerre mondiale 2; or (monnaie);Deutsche Bank (Francfort-sur-le-Main);guerre mondiale 2,2396,1999,Allemagne; Banque; Guerre; Monnaie
"Faire apprendre l'histoire : pratiques et fondements d'une ""didactique de l'enquête"" en classe du secondaire /","Jadoulle, Jean-Louis",9782874384356,Erasme,Histoire; Enseignement secondaire; Didactique,2397,2015,Education; History
Parvenüs und Profiteure : Korruption in der NS-Zeit /,"Bajohr, Frank",9783100048127,S Fischer,corruption;national-socialisme;Allemagne;1933 / 1945,2398,2001,Allemagne; Corruption; National
La propriété par étages : commentaire des articles 712a à 712t du Code civil suisse /,"Wermelinger, Amédéo, 1964-",9783033085367,A Wermelinger,Stockwerkeigentum; Zivilgesetzbuch; Schweiz; Textreproduktion; Kommentar(Werk),2399,2002,Kommentar; Schweiz; Stockwerkeigentum; Textreproduktion; Zivilgesetzbuch
Histoire du paradis fiscal suisse : expansion et relations internationales du centre offshore suisse au XXe siècle /,"Farquet, Christophe, 1984-",9782724622003,SciencesPo les presses,Paradis fiscaux;Suisse; Abgaberecht; Steuerpolitik; Steuerumgehung; Rechtsgeschichte; 20. Jahrhundert; Schweiz,2400,2018,Abgaberecht; Paradis; Steuerpolitik; Steuerumgehung; Suisse
"Décrire un impératif ? : description, explication, interprétation en sciences sociales /","Ackermann, Werner",,Ecole des hautes études en sciences sociales,,2401,,
Le prix des sentiments : au coeur du travail émotionnel /,"Hochschild, Arlie Russell, 1940-",9782707188960,La Découverte,Émotions; Marchandisation; Psychologie du travail; Sociologie; Organisation; Morale; Personnel;Motivation,2402,2017,Psychology; Sociology
"The later works, 1925-1953 /","Dewey, John",9780809315376,Southern Illinois Univ Press,connaissance;* philosophie;[études diverses],2403,1981,Philosophy
Circles of care : work and identity in women's lives /,"Professor of Health Services and Women's Studies Emily K Abel, Emily K. Abel, Margaret K. Nelson",9780791402634,State University of New York Press,femme;personnel soignant;profession sociale;Etats-Unis,2404,1990,Etats; Femme; Personnel; Profession
Vocabulaire européen des philosophies : dictionnaire des intraduisibles /,Barbara Cassin,9782850365805,Seuil; Le Robert,philosophie européenne;vocabulaire;[dictionnaire]; philosophie;langues indo-européennes;traduction; étymologie;philosophie;langues indo-européennes;terminologie;[dictionnaire multilingue]; Philosophie; Europe; [Dictionnaires multilingues]; [Dictionnaires français],2405,2004,Language; Philosophy
Mélanges d'organologie /,"Felix, Jean-Pierre",,J-P Felix,orgue;Belgique;16e s. / 20e s.; facture instrumentale;orgue;Belgique;16e s. / 20e s.,2406,1980,Belgique; Facture; Orgue
Se vouloir du bien et se faire du mal : philosophie de la dispute /,"Rovere, Maxime",9782080289766,Flammarion,Querelles;Philosophie; Relations humaines;Philosophie,2407,2022,Philosophy
Benoît Violier : du coeur aux étoiles /,"Violier, Brigitte, 1970-",9782344058831,Glenat,"Violier, Benoît (1971-2016); Biographie; Cuisiniers",2408,2023,Biography
La faim de l'histoire /,"Jul, 1974-",9782205211221,Dargaud,Gastronomie;Histoire,2409,2023,History
L'art du film : une introduction /,"Bordwell, David Jay",9782804185367,De Boeck,Cinéma; Langage cinématographique; [Manuels d'enseignement],2410,2014,Education
Métamorphoses /,"Coccia, Emanuele",9782743647346,Editions Payot & Rivages,Vie; Biologie;Philosophie; Métamorphose; Théories du vivant,2411,2020,Biology; Philosophy
La vie des plantes : une métaphysique du mélange /,"Coccia, Emanuele",9782743638009,Éditions Payot & Rivages,Plantes;Philosophie; Philosophie de l'environnement,2412,2016,Philosophy
Expanded cinema /,"Youngblood, Gene",9780525101529,EP Dutton,cinéma;progrès technique;1960 / 1970,2413,1970,Cinéma; Progrès
Scénographie d'exposition /,"Hughes, Philip historien 1895-1967",9782212125849,Eyrolles,exposition - conception;stand d'exposition;[manuel],2414,2010,Exposition; Manuel; Stand
King Kong théorie /,"Despentes, Virginie",9782253122111,Grasset,Féminisme; Patriarcat (sociologie),2415,2007,Sociology
"2001, l'odyssée de l'espace : traduction inédite /","Clarke, Arthur Charles, 1917-2008",9782221241622,Robert Laffont,,2416,2021,
Performances : l'art en action /,"Goldberg, RoseLee",9782878111682,Thames & Hudson,action (art);20e s. (2e moitié),2417,1999,Art
Le paradigme de l'art contemporain : structures d'une révolution artistique /,"Heinich, Nathalie",9782070139231,Gallimard,Art; Critique d'art; Sociologie; 20e siècle (2e moitié)-21e siècle (début); Paradigme (épistémologie),2418,2014,Art; Sociology
"L'écran de nos pensées : Stanley Cavell, la philosophie et le cinéma /",Élise Domenach,9791036204135,ENS Editions,"Cavell, Stanley;Critique et interprétation; Cavell, Stanley;Et le cinéma; Philosophie et cinéma",2419,2021,Philosophy
Aquariorama : histoire d'un dispositif /,"Le Gall, Guillaume enseignant-chercheur en histoire de l'art 1971-....",9788869763403,Éditions Mimésis,"Aquariums publics;Histoire; Art cinétique;19e siècle; Aquariums;Dans l'art; Diaporamas;19e siècle; Art;Thèmes, motifs",2420,2022,Art; History
"L'art, une histoire d'expositions /","Glicenstein, Jérôme",9782130573562,Presses universitaires de France,art;exposition,2421,2009,Art
L'exposition à l'oeuvre : stratégies de communication et médiation symbolique /,"Davallon, Jean",9782738487254,L'Harmattan,exposition;20e s. (fin); exposition;* anthropologie sociale;20e s. (fin); communication;exposition;muséologie,2422,2000,Anthropology
Godard : inventions d'un cinéma politique /,"Faroult, David",9782354801717,Les Prairies ordinaires,"Godard, Jean-Luc;Critique et interprétation; Godard, Jean-Luc;Activité politique; Cinéma et politique",2423,2018,Politics
L'art du film : une introduction /,"Bordwell, David Jay",9782804102159,De Boeck,cinéma;[manuel]; langage cinématographique;[manuel]; CAMERA; HISTOIRE DU CINEMA: GENERALITES; SON; THEORIE; REALISATION; ANALYSE DE FILMS; MONTAGE; GENRE CINEMATOGRAPHIQUE; TECHNIQUE,2424,2009,History
Exhibiting the moving image : history revisited /,"François Bovier, Adeena Mey",9783037643884,Les Presses du réel; JRP Ringier,Cinéma; Films expérimentaux; Art vidéo; Expositions artistiques; CRITIQUE CINEMATOGRAPHIQUE; FILM EXPERIMENTAL; [Études diverses],2425,2015,Art
Jacqueline Veuve 25 ans de cinéma /,"Galland, Bertil, 1931-",,Cinémathèque suisse,"Veuve, Jacqueline; Veuve, Jacqueline;[filmographie]; Veuve Jacqueline",2426,1992,Filmographie; Veuve
Une femme de cinéma : Jacqueline Veuve et le nouvel envol du film documentaire /,"Galland, Bertil, 1931-",,Cinémathèque suisse,"Veuve, Jacqueline; Veuve Jacqueline; cinéma documentaire suisse; DOCUMENTAIRE; SUISSE ROMANDE",2427,1992,Fiction
La panthère des neiges /,"Tesson, Sylvain, 1972-",9782072822322,Gallimard,"Récits de voyages;Tibet (Chine, république populaire)",2428,2019,Récits; Tibet
"Ciné-dispositifs : spectacles, cinéma, télévision, littérature /","François Albera, Maria Tortajada",9782825141878,L'Age d'Homme,projection cinématographique;1895 / 21e s. (début);[études diverses]; cinéma;Dispositifs acoustooptiques;1895 / 21e s. (début);[études diverses]; Dispositifs acoustooptiques;télévision;1895 / 21e s. (début);[études diverses]; Dispositifs acoustooptiques;spectacle et divertissement;1895 / 21e s. (début);[études diverses]; THEORIE,2429,2011,Cinéma; Dispositifs; Début; Projection; Études
"Atelier de cinéma d'animation : du mouvement à l'émouvement,  film_vidéo_numérique /","Engler, Robi",9782828914080,Ed Favre,Engler Robi; Animation (cinéma); DESSIN ANIME: TECHNIQUE; DESSIN ANIME; [Manuels d'enseignement],2430,2014,Education
Home stories : neue Studien zu Film und Kino in der Schweiz = nouvelles approches du cinéma et du film en Suisse /,Vinzenz Hediger,9783894725044,Schüren Verl,"Tanner Alain; Schneider Alexandra; Macpherson Kenneth / McPherson Kenneth; Probst Eduard; Gretler Heinrich; Le Retour d'Afrique / Alain Tanner / Suisse, France / 1973 / Alain Tanner;; Borderline / Kenneth Macpherson / Suisse / 1930 /; Autosonntag / / Suisse / 1930 /; Orage sur la montagne; Bergführer Lorenz / Eduard Probst / Suisse / 1942 /; cinéma suisse;[congrès]; DOCUMENTAIRE; CINE-CLUB; CRITIQUE CINEMATOGRAPHIQUE; EXPLOITATION; GENEVE; HISTOIRE DU CINEMA SUISSE; TESSIN; ZUERICH; MONTAGNE; CENSURE; LAUSANNE; PERSONNALITE SUISSE; CINE-JOURNAL",2431,2001,History
Langages et imaginaire dans le cinéma suisse d'animation : avec un répertoire de la production 1977-1988 /,"Cosandey, Roland",9782883080003,Roto-Sadag; Groupement suisse du film d'animation,Cave; Toepffer Rodolphe; Blanc-Gatti Charles; Pinschewer Julius; Lortac / Collard Robert / Lortac Robert; Boolsky Jacques / Bogopolsky Jacques / Bolsey Jacques; Histoire de Mr Vieux Bois; Histoire de Monsieur Vieux-Bois / Lortac; Cavé / Suisse / 1921 /; Cinéma;Suisse; PERSONNALITE SUISSE; ANIMATION; GROUPEMENT SUISSE DU FILM D'ANIMATION: GSFA (VD. LAUSANNE),2432,1988,History
Les fondamentaux de l'animation /,"Wells, Paul, 1961-",9782350171678,Pyramyd,cinéma d'animation;[manuel],2433,2010,Cinéma; Manuel
Esthétique du cinéma d'animation /,"Sifianos, Georges, 1952-",9782204098380,Ed du Cerf,Mouvement (esthétique); Animation (cinéma); Technique; Esthétique; Films d'animation; TECHNIQUE; ESTHETIQUE; ANIMATION; IMAGE,2434,2012,Animation; Esthétique; Films; Mouvement; Technique
Sociologie de la traduction : textes fondateurs /,"Akrich, Madeleine",9782911762758,Les presses de l'école des mines,science;* sociologie; technique;* sociologie,2435,2006,Science; Sociology
"Ces dessins qui bougent : 1892-1992, cent ans de cinéma d'animation /","Laloux, René",9782910027087,Dreamland éd,cinéma d'animation;1892 / 1992; DESSIN ANIME: HISTOIRE,2436,1996,History
"19-39, la Suisse romande entre les deux guerres : peinture, sculpture, art religieux, architecture, céramique, photographie, littérature, musique, cinéma, radio, théâtre, fêtes /",,9782601030211,Ed Payot,art suisse romand;1919 / 1939;[catalogue d'exposition]; littérature suisse romande;1919 / 1939;[catalogue d'exposition]; musique suisse;Suisse Romande;1919 / 1939;[catalogue d'exposition]; cinéma suisse;Suisse Romande;1919 / 1939;[catalogue d'exposition]; ENTRE DEUX GUERRES; SUISSE ROMANDE; Suisse Romande;1919 / 1939;[catalogue d'exposition],2437,1986,Art; Fiction; Literature; Music
Le salaire des neutres : Suisse 1938-1948 /,"Jost, Hans Ulrich",9782207248447,Denoël,Relations économiques internationales;Suisse;20e siècle; Politique économique;Suisse;20e siècle; Salaires;Suisse;20e siècle; politique économique;Suisse;1938 / 1948; relations économiques internationales;Suisse;1938 / 1948; Suisse;Conditions économiques;20e siècle; Suisse;Conditions de travail;20e siècle; Suisse;1938 / 1948,2438,1999,Politics
La Suisse des années sombres : courants d'opinion pendant la Deuxième Guerre mondiale : 1939-1945 /,"Lasserre, André, historien du canton de Vaud",9782601030518,Payot,Opinion publique;Suisse;1939-1945 (Guerre mondiale); Propagande;Suisse;1939-1945 (Guerre mondiale); défense spirituelle;Suisse;1939 / 1945; opinion politique;propagande politique;Suisse;1939 / 1945; Histoire; 1939-1945; Propagande; Opinion publique; Suisse,2439,1988,History; Politics
L'oeuvre ouverte /,"Eco, Umberto, 1932-2016",9782757850176,Ed du Seuil,"Joyce, James; Poétique; Information, Théorie de l'; Communication; [Études diverses]",2440,2015,Communication; Information; Joyce; Poétique; Études
Français langue d'éveil : FLE A1/A2 /,"Preira, Marie-Louise",9782340029156,Ellipses,Français (langue); Manuels pour allophones,2441,2019,Language
"Tout le FLE : A1-A2 : 160 séquences et 400 exercices corrigés : vocabulaire, grammaire, conjugaison, 190 fichiers audio /","Bitton, Arielle",9782340073296,Ellipses,Français langue étrangère.; Manuels pour allophones.; Problèmes et exercices.,2442,2022,Language
"Maîtriser la grammaire française : [toutes les notions clés, des explications simples, 500 exercices corrigés] /","Delignon, Bénédicte",9782218992063,Hatier,Grammaire française; Manuels d'enseignement,2443,2018,Education
L'enfant /,"Montessori, Maria",9782220095233,Desclée de Brouwer,Éducation des enfants; Méthode Montessori; Manuels d'enseignement,2444,2018,Education
Vaincre la procrastination : 24 clés pour agir maintenant et éviter de remettre à demain /,"Rochat, Shékina, 1988-",9782804720797,Mardaga,Motivation (psychologie); Procrastination,2445,2022,Psychology
Une chambre à soi /,"Woolf, Virginia",9782264033604,10/18,Femmes;Conditions sociales,2446,1996,Conditions; Femmes
Pédagogie des opprimés ; suivi de Conscientisation et Révolution /,"Freire, Paulo, 1921-1997",9782707135292,La Decouverte,pays en voie de développement;pédagogie; éducation populaire;pays en voie de développement,2447,2001,Education
Cendres ardentes /,"Voltenauer, Marc 1973-....",9782889442225,Slatkine & Cie,Roman suisse de langue française; Roman policier,2448,2023,Fiction; Language
Histoire du Japon : des origines à Meiji /,"Vié, Michel",9782715420816,Presses universitaires de France / Humensis,Japon;1868-1912 (Ère Meiji); Japon;Histoire,2449,2023,History
Atlas des plantes de mauvaise vie : un herbier de l'infra-ordinaire /,"Molnár, Olivia artiste 19..-....",9782940700264,Hélice Hélas éditeur,Plantes des villes; Médecine populaire; Ouvrages illustrés,2450,2023,Médecine; Ouvrages; Plantes
Histoire de la botanique /,"Magnin-Gonze, Joëlle",9782603022153,Delachaux & Niestlé,Botanique; Histoire; [Ouvrages illustrés],2451,2015,History
Les fossoyeurs /,"Castanet, Victor",9782213716558,Fayard,Personnes âgées dépendantes;Soins en institutions;France;2000-....; Personnes âgées;Violence envers;France;2000-....; Établissements d'hébergement pour personnes âgées dépendantes.; Enquêtes.,2452,2022,France; Personnes; Soins
Froid comme l'enfer /,"Lilja Sigurðardóttir, 1972-",9791022611893,Metailié,,2453,2022,
Mortel motel : les enquêtes de l'avocat Gojin : whodunit /,"Do, Jinki",9782493386038,Matin calme,,2454,2022,
Le bureau des jardins et des étangs : roman graphique /,"Bourdet, Julia",9782234093652,Stock,,2455,2022,
Histoire du fils /,"Lafon, Marie-Hélène",9782283032800,Buchet-Chastel,Famille; Roman français,2456,2020,Fiction
Cher connard : roman /,"Despentes, Virginie 1969-....",9782246826514,Bernard Grasset,Féminisme; Roman épistolaire; Littérature française,2457,2022,Fiction; Literature
Les derniers Indiens : roman /,"Lafon, Marie-Hélène",9782283022313,Buchet/Chastel,,2458,2008,Fiction
Le soir du chien : roman /,"Lafon, Marie-Hélène",9782283018538,Buchet-Chastel,,2459,2001,Fiction
Les sources /,"Lafon, Marie-Hélène",9782283036600,Buchet Chastel,Violence conjugale; Roman,2460,2023,Fiction
La colère et l'envie : roman /,"Renard, Alice 2002-",9782350878966,Éditions Héloïse d'Ormesson,Roman,2461,2023,Fiction
Désorientale /,"Djavadi, Négar",9782867468346,Liana Levi,,2462,2016,Fiction
Du même bois : roman /,"Fayolle, Marion, 1988-",9782073025814,Gallimard,Vie à la ferme;France,2463,2024,Ferme; France
This Is how you lose the time war /,"El-Mohtar, Amal 1984-...",9781534430990,Saga Press,,2464,2020,Fiction
Le Moi-peau /,"Anzieu, Didier",9782100027934,Dunod,Enveloppe psychique; Corps humain (psychanalyse); Identité (psychologie); Moi; Psychanalyse,2465,1995,Psychology
Opera negra /,"Chotil, Clara 1992-....",9782330165017,Actes Sud,Bandes dessinées,2466,2022,Comics
La dernière place /,"Djavadi, Négar",9782234093942,Stock,,2467,2023,
Immensità /,"Changy, Victoire de 1988-....",9782366248630,Éditions Cambourakis,,2468,2024,
Au rythme des saisons d'Antonio Vivaldi /,"Vourch, Marianne",9782491995034,Editions La Villanelle,"Vivaldi, Antonio; Ouvrages pour la jeunesse",2469,2021,Ouvrages; Vivaldi
Comptines pour faire la fête,Cécile Hudrisier,9782278081585,Didier Jeunesse,,2470,2016,Chansons; Chants; Comptines; Enregistrements; Fêtes
"Musique maestro ! : Bach, Chopin, Mozart, Vivaldi... écoute les grands compositeurs ! /",Marion Billet,9782075109864,Gallimard-Jeunesse Musique,Compositeurs; Livres audio; Ouvrages pour la jeunesse,2471,,Compositeurs; Livres; Ouvrages
Palestine /,"Sacco, Joe, 1960-",9782878271935,Rackham,Intifada (1987-1993); Récits de voyages; Bandes dessinées,2472,2015,Comics
Le Transsibérien : départ immédiat pour l'autre bout du monde /,"Litvina, Alexandra 1976-",9782355046414,Rue du monde,Livres documentaires pour la jeunesse; Chemins de fer; Transsibérienne (Russie); Ouvrages pour la jeunesse,2473,2021,Chemins; Livres; Ouvrages; Transsibérienne
Le tour du monde en 24 marchés /,"Bakhareva, Maria",9782492768224,La Partie,Cuisine;Descriptions et voyages; Marchés; Ouvrages pour la jeunesse,2474,2022,Cuisine; Descriptions; Marchés; Ouvrages
Mes instruments : livre sonore avec un cherche & trouve /,"Billet, Marion",9782075155847,Gallimard jeunesse,Instruments de musique; Ouvrages pour la jeunesse,2475,2021,Music
La musique : écoute et trouve /,"Paruit, Marie",9782036027381,Larousse,,2476,2022,
Pendant que tu dors /,"June, Rebecca",9782378012717,Saltimbanque éditions,Sommeil,2477,,Sommeil
Je marche avec Vanessa : le récit tout simple d'une bonne action /,Kerascoët,9782897770419,La Pastèque,Violence en milieu scolaire; Harcèlement en milieu scolaire; Livres d'images,2478,2018,Harcèlement; Livres; Violence
Les fées scientifiques /,"Sauvage, Zoé",9782366246841,Éditions Cambourakis,"Gagliano, Monica;(1976-....); Goodall, Jane;(1934-....); Grandin, Temple;(1947-....); Margulis, Lynn;(1938-2011); McClintock, Barbara;(1902-1992); Femmes scientifiques; Bandes dessinées",2479,2022,Comics
Le bibliobus /,"Moore, Inga auteur et illustrateur 1945-....",9782211313568,L'Ecole des loisirs,Lecture;Promotion; Bibliobus; Livres et lecture; Livres d'images,2480,2021,Bibliobus; Lecture; Livres; Promotion
Kiosque /,"Melece, Anete 1983-....",9782211305686,Pastel; l'École des loisirs,Villes; Petits métiers; Différence (philosophie); Livres illustrés pour enfants,2481,2021,Philosophy
Le livre de ma jungle /,"Nussy, Alice de",9782246830016,Grasset-Jeunesse,Ouvrages pour la jeunesse; Livres-jeux,2482,2022,Livres; Ouvrages
Frida Kahlo /,"Thomas, Isabel",9782075104661,Gallimard jeunesse,"Kahlo, Frida;Biographie; Ouvrages pour la jeunesse",2483,2018,Biography
Le phare /,"Blackall, Sophie",9782372731133,les Éditions des éléphants,Phares; Livres d'images,2484,2021,Livres; Phares
Heidi /,"Spyri, Johanna, 1827-1901",9783038691372,Bergli; Helvetiq,Heidi; Livres d'images,2485,2023,Heidi; Livres
ABC : Suisse /,"Blaesi, Niels",9783038691273,Bergli; Helvetiq,Ouvrages pour la jeunesse,2486,2022,Ouvrages
DirtyBiology : la grande aventure du sexe /,"Grasset, Léo",9782756090863,Delcourt,Sexualité; Bandes dessinées,2487,2017,Comics
Le petit monde de Nour /,"Ruillier, Jérôme",9782378012465,Saltimbanque,Entraide; Autisme; Différence (philosophie); Livres d'images,2488,2022,Philosophy
