i,Title,Author,Publisher,Subjects
5484,Proust à la lettre : les intermittences de l'écriture /,"Grésillon, Almuth",Du Lérot,"écriture--manuscrit--Proust, Marcel"
5511,"Enquête sur Piero Della Francesca : le Baptême, le cycle d'Arezzo, la Flagellation d'Urbino /","Ginzburg, Carlo",Flammarion,"Piero della Francesca.--""Le baptême du Christ""; Piero della Francesca.--""La flagellation du Christ"""
5536,Corporate governance and corporate social responsibility : how to tackle environmental imperatives in company law? : legal and management perspectives /,"George, Christophe 19..-....",éditeur non identifié,Unternehmensführung; Corporate Social Responsibility; Umweltschutz; Klimaschutz; Konzern; international; Gesellschaftsrecht; Rechtsvergleichung; Schweiz; Vereinigtes Königreich
5583,Les sciences sociales : sorcellerie des temps modernes? /,"Andreski, Stanislav",Presses universitaires de France,sciences sociales - critique
5605,Le Groupe de Saint-Luc (1919-1945) : expression et quête d'identité d'une société artistique catholique dans l'Europe de l'entre-deux-guerres /,"Noverraz, Camille",éditeur non identifié,Thèses et écrits académiques; Groupe de Saint-Luc (Genève)
5648,Le commerce de l'estampe à Paris au XVIIe siècle /,"Grivel, Marianne",Droz,gravure française--marché de l'art--Paris (France)--17e s.
5656,Inventaire et catalogage des périodiques vivants de la Bibliothèque des Cèdres : introduction et rapport de travail /,"Baumgartner, Lina",BCU-Bibliothèque des Cèdres,
5665,"Penser la guerre, Clausewitz /","Aron, Raymond, 1905-1983",Gallimard,"guerre--Clausewitz, Carl von"
5677,Vie et mort des esclaves dans la Rome antique,"Schmidt, Joël",Ed A Michel,esclavage--Rome; esclave--Rome
5684,En transition douce vers la décroissance /,"Leroux, Alexandre 19..-....",Ulmer,Décroissance soutenable.
5692,Lupa Romana : recherches d'iconographie et essai d'interprétation /,"Dulière, Cécile",Institut historique belge de Rome,art romain antique--louve--3e s. av. J.-C. / 3e s.
5697,Le temple de Bêl à Palmyre /,"Seyrig, Henri",P Geuthner,temple palmyrénien--Palmyre (Syrie) - Temple de Bêl
5699,Mémoires de Pierrefleur /,"Pierrefleur, Guillaume de",La Concorde,
5702,Etudes de moeurs / tome 4,"Balzac, Honoré de",Hébert; Houssiaux,
5704,La nausée : [roman] /,"Sartre, Jean-Paul",Gallimard,
5705,L'antisémitisme : son histoire et ses causes /,"Lazare, Bernard",J Crès,
5715,Mémoires /,"Humbert-Droz, Jules",Impr coopératives réunies; A La Baconnière,"Humbert-Droz, Jules; Parti socialiste suisse; Parti suisse du travail (Suisse); Troisième internationale--(1919-1943); communisme international--Humbert-Droz, Jules--1891 / 1971; Pacifisme; Communisme; 20e siècle; [Sources]; [Récits personnels]"
5744,"Ma vie intime, affective et sexuelle /","Hen, Léa",Institution de Lavigny,Polyhandicapés; Handicapés; Éducation spéciale; Éducateurs spécialisés; Affectivité; Relations amoureuses; Sexualité; Vie pratique; Relations humaines; Communication interpersonnelle; Intimité (psychologie); Éducation sexuelle des handicapés; [Guides pratiques]
5758,L'harmonie : traité /,"Paşcanu, Alexandru, 1920-1989",Flash and Go; Dlignes,Harmonie (musique)
5780,Les Justes suisses : des actes de courage méconnus au temps de la Shoah /,"Wisard, François",CICAD,Guerre mondiale (1939-1945)--Juifs--Sauvetage--Suisse; Justes des nations pendant la Shoah--Suisse; aide aux victimes--génocide--Juif - protection--guerre mondiale 2--Suisse
5798,Masse et puissance /,"Canetti, Elias, 1905-1994",Gallimard,pouvoir--société de masse
5870,La qualité pour recourir en droit de l'aménagement du territoire et de l'environnement : étude de droit fédéral vaudois /,"Pfeiffer, Laurent, 1982-",Schulthess,Parties (procédure); Locus standi; Recours administratifs; Aménagement du territoire; Environnement; Droit; Beschwerdelegitimation; Bundesrecht; kantonales Recht; Verwaltungs- und Verwaltungsgerichtsverfahren; kantonales Rechtsmittel; Beschwerde in öffentlich-rechtlichen Angelegenheiten; Raumplanung und öffentliches Baurecht; Umweltschutz; Natur- und Heimatschutz; Vaud (Suisse); Suisse; Schweiz; Waadt; Suisse - Cantons; [Thèses et écrits académiques]
5892,"L'Union nationale, 1932-1939 : un fascisme en Suisse romande /","Joseph, Roger, Docteur ès sciences politiques",Impr centrale; Ed de la Baconnière,fascisme--Union nationale (Suisse romande)--1932 / 1939
5894,Saint-Preyardises : témoignages d'une époque /,"Pittolaz, Sandrine",Imprimerie de Marcelin; Municipalité de Saint-Prex,"Saint-Prex (Suisse, VD)--Histoire; Saint-Prex (Suisse, VD)--Récits personnels"
5906,Oeuvres intimes /,Stendhal,Gallimard,
5910,Critique de la vie quotidienne /,"Lefebvre, Henri",L'Arche,
6048,Origines du conflit israélo-arabe (1870‑1950) /,"Bensoussan, Georges",Que sais-je ?,Conflit israélo-arabe--Origines
6081,Rembrandt's etchings : an illustrated critical catalogue /,"White, Christopher",A Zwemmer; Van Gendt,Rembrandt - eau-forte--[catalogue]
6092,De la littérature considérée dans ses rapports avec les institutions sociales / Madame de Staël ; éd. critique par Paul Van Tieghem,"Staël, Anne-Louise-Germaine de",MJ Minard; Libr Droz,
6096,Le cadastre vaudois au XIXe siècle /,"Monition, Thierry",Impr Chabloz; Bibliothèque historique vaudoise,registre foncier--Vaud (Suisse)--1800 / 1882
6145,Histoire de l'Eglise réformée du Pays de Vaud sous le régime bernois /,"Vuilleumier, Henri",La Concorde,
6181,La démocratie référendaire en Suisse au XXe siècle = Die schweizerische Referendumsdemokratie im XX. Jahrhundert /,,Ed universitaires,référendum--Suisse--1900 / 1970
6183,La grève générale de 1918 en Suisse /,,Grounauer,Grève générale (Suisse ; 1918); grève générale--Suisse--1918
6185,Le gouvernement vaudois : de 1803 à 1962 : (récit et portraits) /,"Bovard, Pierre-André",Ed de Peyrollaz,pouvoir politique--Vaud (Suisse)--1803 / 1962; gouvernement--Vaud (Suisse)--1803 / 1962; Politique et gouvernement--Vaud (Suisse)--19e siècle; Politique et gouvernement--Vaud (Suisse)--20e siècle
6186,Souvenirs d'un journaliste /,"Bonjour, Félix",Impr vaudoise,
6230,Le rêve éveillé en psychothérapie : essai sur la fonction de régulation de l'inconscient collectif /,"Desoille, Robert",Presses Univ de France,Inconscient collectif; Psychothérapie; Rêve éveillé
6238,"Le Vorort, mythe ou réalité : histoire de l'Union suisse du commerce et de l'industrie, 1870-1970 /","Wehrli, Bernhard",A la Baconnière,Union suisse du commerce et de l'industrie (Suisse).--Vorort--19e siècle; Union suisse du commerce et de l'industrie (Suisse).--Vorort--20e siècle; Union suisse du commerce et de l'industrie (Suisse)--1870 / 1970
6256,Les organisations professionnelles en Suisse /,"Meynaud, Jean",Payot,organisation professionnelle--Suisse--1900 / 1962
6262,"L'Union de défense économique : la bourgeoisie genevoise face à la crise, 1923-1932 /","Cassis, Youssef",Presses universitaires romandes,"Union de défense économique (Genève); crise économique--parti politique--Genève (Suisse, canton)--1923 / 1932"
6278,Vygotsky aujourd'hui /,,Delachaux & Niestlé,
6293,L'écrivain et le paysan /,"Gachon, Lucien",Ed des Cahiers bourbonnais,écrivain--paysan
6297,Saint-Prex : 1234-1984 /,,Imprimerie du Jura chez S et P Bornand; Commune de Saint-Prex,
6299,Entre modernité et nostalgie : la Suisse de 1920 à 1929 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1920 / 1929--[photographies]; Suisse--1920 / 1929--[chronologie]
6435,La cathédrale Saint-Nicolas de Fribourg : miroir du gothique européen /,,La Bibliothèque des Arts; Fondation pour la conservation de la cathédrale Saint-Nicolas de Fribourg,"cathédrale--Fribourg (Suisse, ville) - Saint Nicolas; Cathédrales; Fribourg (Suisse, ville) - Saint Nicolas"
6480,Histoire civile du royaume de Naples /,"Giannone, Pietro",et Isaac Beauregard ie HA Gosse; chez Pierre Gosse,
6499,"La ville de Lausanne : introduction, extension urbaine, ponts, fontaines, édifices religieux (sans la cathédrale), hospitaliers, édifices publics (I) /","Grandjean, Marcel, 1930-",Birkhäuser,"Monuments historiques--Lausanne (Suisse, VD); Tissu urbain--Lausanne (Suisse, VD); monument historique--Lausanne (Suisse, VD); Kunst und Kultur; Kunstgeschichte; Denkmal; Schweiz; Waadt"
6510,Le journal de Gibbon à Lausanne : 17 août 1763 - 19 avril 1764 /,"Gibbon, Edward, 1737-1794",F Rouge,
6513,La vie de société dans le Pays de Vaud à la fin du dix-huitième siècle : Salomon et Catherine de Charrière de Sévery et leurs amis /,"Charrière de Sévery, William de",Fischbacher; G Bridel,"Charrière de Sévery, Salomon; Charrière de Sévery, Catherine; vie culturelle--Vaud (Suisse)--18e s. (fin); Vaud (Suisse)--18e s. (fin)"
6534,Nishwār al-muḥāḍarah wa-akhbār al-mudhākarah /,"Tanūkhī, al-Muḥassin ibn ʿAlī, 939-994",Dār Ṣādir,Abbassides--(dynastie)--Bureaucratie--Irak--10e siècle; Anecdotes
6536,Bibliographie der Schweizer Presse : mit Einschluss des Fürstentums Liechtenstein = Bibliographie de la presse suisse = Bibliografia della stampa svizzera /,"Blaser, Fritz",Birkhäuser,périodique--Suisse--[bibliographie]; périodique--Liechtenstein (principauté)--[bibliographie]; Geschichte; Schweizergeschichte; Presse; Schweiz; Liechtenstein; Bibliographie
6538,Etudes historiques sur le passé de Vevey /,"Recordon, Edouard, historien",Impr Säuberlin et Pfeiffer; éditeur non identifié,"Vevey (Suisse, VD)--origines / 20e s. (milieu)"
6546,"D'ivoire et de marbre : Alexandre et Henri Perregaux ou l'Age d'Or de l'architecture vaudoise, 1770-1850 /","Bissegger, Paul",Bibliothèque historique vaudoise,"architecture suisse vaudoise--Perregaux, Alexandre-Charles de--1770 / 1850; architecture suisse vaudoise--Perregaux, Henri--1770 / 1850"
6547,Le Moyen Age romantique au Pays de Vaud : 1825-1850 : premier épanouissement d'une architecture néo-médiévale /,"Bissegger, Paul",Bibliothèque historique vaudoise,église (bâtiment)--Gothic Revival--Vaud (Suisse)--1825 / 1850; château--Gothic Revival--Vaud (Suisse)--1825 / 1850
6599,"La Suisse, ou, L'histoire d'un peuple heureux /","Rougemont, Denis de, 1906-1985",L'Age d'homme,Suisse--origines / 20e s.
6600,La grande transformation : aux origines politiques et économiques de notre temps /,"Polanyi, Karl, 1886-1964",Gallimard,libéralisme économique--* anthropologie politique; société industrielle (milieu humain)--* anthropologie économique--19e s. / 20e s. (1ère moitié); société industrielle (milieu humain)--* anthropologie politique--19e s. / 20e s. (1ère moitié); économie--19e s. / 1944
6604,La Chine : des guerres de l'opium à nos jours /,"Paulès, Xavier, 1973-",La Documentation photographique,19e siècle-21e siècle (début); Histoire; Guerre; Nationalisme; Maoïsme; Économie politique; Géographie; Chine; Chine (république populaire); [Multimédias]
6611,La Réforme en Pays de Vaud : 1528-1619 /,"Campiche, Michel",l'Aire,Vaud (Suisse)--Réforme--1528 / 1619
6615,"Scooters, spoutniks et prospérité : la Suisse de 1950 à 1959 /","Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1950 / 1959; Suisse--1950 / 1959--[chronologie]
6619,Nouvelle histoire de la Suisse et des Suisses /,,Payot,Suisse (peuple)--origines / 20e s.; Suisse--origines / 20e s.
6624,"Lune en direct, manifs en baskets : la Suisse de 1960 à 1969 /","Praz, Anne-Françoise, 1957-",Editions Eiselé,Suisse--1960 / 1969--[chronologie]
6670,Théogonie ; Les travaux et les jours ; Le bouclier /,Hesiodus,Les Belles Lettres,
6693,Le baron Bernard /,"Ferrier, Camille J",W Kündig,
6698,Le mariage de Mendelssohn : 1837-1937 /,"Petitpierre, Jacques",Payot,"Mendelssohn-Bartholdy, Cécile--[biographie]; Mendelssohn-Bartholdy, Felix--[biographie]; Jeanrenaud--(famille); Mendelssohn Bartholdy Félix Jakob Ludwig"
6730,Répression et psychiatrie ou un siècle de travail à l'hôpital de Cery /,"Cantini, Claude",Psychiatrie pratique,Hôpital de Cery (Prilly); Histoire; Psychiatrie
6732,Oeuvres complètes /,"Brasillach, Robert",Club de l'honnête homme,
6743,Sobranie sochineniĭ v shesti tomakh /,"Leskov, Nikolaĭ Semenovich",Izd Pravda; Bibl Ogonek,
6745,The Mahābhārata /,,The Univ of Chicago Press,
6746,"The Mahābhārata, of Krishna-Dwaipayana Vyasa /",,M Manoharlal,
6776,Le Comité d'action pour les Etats-Unis d'Europe de Jean Monnet /,"Fontaine, Pascal",Centre de recherches européennes,"Monnet, Jean--Comité d'action pour les Etats Unis d'Europe; intégration européenne--Comité d'action pour les Etats Unis d'Europe"
6778,Jean Monnet /,"Rieben, Henri",Impr Réunies; Centre de recherches européennes,"Monnet, Jean"
6846,L'architecture hellénique et hellénistique à Délos jusqu'à l'éviction des Déliens (166 av. J.-C.) /,"Vallois, René",Ecole française d'Athènes; E de Boccard,architecture grecque antique--Délos (Grèce)--époque hellénistique
6921,Menander : a commentary /,"Gomme, Arnold Wycombe",At The Univ Press,Ménandre - théâtre (genre littéraire)
6945,La maison de Savoie /,"Marie-José, Reine d'Italie",Fondation Humbert II et Marie José de Savoie,Savoie--(Maison de)--14e s. / 15e s. (1ère moitié)
6947,Schwäbische Kunstgeschichte /,"Koepf, Hans",J Thorbecke,art allemand souabe--11e s. / 18e s.
6948,Le cardinal Mathieu Schiner /,"Büchi, Albert, 1864-1930",Impr Réunies; A La Baconnière,"Schiner, Mathieu--(cardinal)"
6950,Histoire de la peinture suisse /,"Fosca, François",Ed du Rhône,peinture suisse--roman (époque) / 20e s. (milieu)
6994,L'éthique et la pratique infirmière /,,SBK / ASI,Morale; Éthique médicale; Soins infirmiers
7023,De l'insaisissabilité des rentes sur l'Etat /,"Laour, Georges",A Rousseau,
7027,La vice-présidence des Etats-Unis d'Amérique /,"Demeer, Yves",Presses univ de France,vice-président--Etats-Unis
7029,Les ministres dans les principaux pays d'Europe et d'Amérique /,"Dupriez, Léon Hugo",,
7031,Les commissions parlementaires permanentes de la Ve République /,"Loquet, Patrick",Presses universitaires de France,commission parlementaire--France--1958 / 1981
7032,Les institutions de démocratie directe en droit suisse et comparé moderne /,"Battelli, Maurice",Libr du Recueil Sirey,démocratie directe--institutions politiques--Suisse; politische Rechte; Demokratie; Schweiz
7033,Des actions famillae erciscundae et communi dividundo : droit romain ; De l'élaboration et du vote des lois : droit français /,"Blet, Camille",Ch Valin,
7034,La présidence des assemblées politiques /,"Ripert, Henri",Rousseau,
7035,De la distinction des lois constitutionnelles et des lois ordinaires /,"Gajac, Jean",Gounouilhou,
7074,Mélanges Guy Flattet : recueil de travaux offerts à Guy Flattet /,,Payot,droit--France--[études diverses]; droit--Suisse--[études diverses]; droit comparé--[études diverses]; droit international privé--Suisse--[études diverses]; droit international--[études diverses]; Festschrift
7084,Etudes sur l'étymologie et le vocabulaire du vieux slave /,"Meillet, Antoine",E Bouillon,slavon (langue)
7085,Guerre in ottava rima /,,ISR; Panini,
7086,Esperienze ariostesche /,"Segre, Cesare",Nistri-Lischi,Arioste--[études diverses]
7108,Plebiszit und pluralitäre Demokratie : eine Analyse der Funktion des schweizerischen Gesetzesreferendums /,"Neidhart, Leonhard",Francke,démocratie--pluralisme (science politique)--Suisse; référendum--Suisse
7165,La Maison de Savoie et le Pays de Vaud /,,Bibliothèque historique vaudoise,Savoie--(Maison de)--Vaud (Suisse)--[études diverses]
7167,"Mélanges d'histoire et de littérature offerts à Monsieur Charles Gilliard, professeur honoraire de l'Université de Lausanne, à l'occasion de son soixante-cinquième anniversaire /",,La Concorde; F Rouge,"insurrection--royalisme--Neuchâtel (Suisse, canton)--Prusse--1856; Suisse--[études diverses]; Vaud (Suisse)--[études diverses]"
7168,Frédéric-César de La Harpe : 1754-1838 /,,Bibliothèque historique vaudoise,"La Harpe, Frédéric-César de--[biographie]; La Harpe, Frédéric-César de--[études diverses]"
7174,La pensée sauvage /,"Lévi-Strauss, Claude, 1908-2009",Plon,totémisme--* ethnologie; mythe--taxonomie--* anthropologie
7200,Documents araméens d'Égypte /,,Ed du Cerf,colonie--Juif--papyrus araméen--Eléphantine (Egypte)--6e s. av. J.-C. / 3e s. av. J.-C.--[anthologie]
7203,Squilibrio e deficienza mentale in diritto romano /,"Nardi, Enzo",A Giuffrè,
7204,La responsabilité pénale dans l'ancien droit : (XVIe - XVIIIe siècle) /,"Laingui, André",Libr générale de droit et de jurisprudence,
7214,Les oeuvres de Marguerite d'Oingt /,"Marguerite, D'Oingt","Soc d'éd ""Les belles lettres""",
7219,Construction européenne : la révolution d'un continent /,"Grin, Gilles",Fondation Jean Monnet pour l'Europe,Politique et gouvernement--Europe--20e siècle; Europe--Unité
7349,Histoires de manuels et manuels d'histoire dans le canton de Vaud (XIXe-XXe siècles),,Société vaudoise d'histoire et d'archéologie,histoire--manuel--Vaud (Suisse)--19e s. / 20e s.--[études diverses]; enseignement--histoire--Vaud (Suisse)--19e s. / 20e s.--[études diverses]
7352,Le temps scolaire de l'élève dans le canton de Vaud : quels changements depuis le milieu du XIXe siècle ? /,"Gilliéron Giroud, Patricia",URSP Unité de recherche pour le pilotage des systèmes pédagogiques,enseignement primaire--horaire (temps) - durée--Vaud (Suisse)--1868 / 1997; enseignement secondaire--horaire (temps) - durée--Vaud (Suisse)--1868 / 1997
7353,Art en ville : à la découverte de l'art dans l'espace public lausannois,,Service de la culture de la Ville de Lausanne,
7445,L'assomption de la T.S. Vierge dans la tradition byzantine du VIe au Xe siècle : études et documents /,"Wenger, Antoine",Institut français d'études byzantines,Assomption--théologie byzantine--6e s. / 10e s.
7446,La mort et l'assomption de la sainte vierge : étude historico-doctrinale /,"Jugie, Martin",Biblioteca apostolica vaticana,Assomption--* théologie
7467,Apprentissage de la dissertation /,"Dupuis, Sylviane",Département de l'instruction publique Collège Calvin Service & développement,Dissertation; Manuels d'enseignement
7474,"Livre blanc de l'Université de Lausanne sur le doctorat ""honoris causa"" de Benito Mussolini /",,Presse et information Université de Lausanne,"doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne--1937--[document]"
7480,Erôs et Agapè : la notion chrétienne de l'amour et ses transformations /,"Nygren, Anders Th.S., 1890-1978",Aubier,amour--christianisme--1er s. / 16e s.; Love--Religious aspects--Christianity
7499,Romans et contes /,Voltaire,Gallimard,
7522,"Cinéma suisse : regards critiques, 1896-1987 /","Schlappner, Martin",Centre suisse du cinéma,cinéma suisse--1896 / 1987; HISTOIRE DU CINEMA SUISSE; SUISSE
7523,"L'usage de la liberté : le nouveau cinéma suisse, 1964-1984 /","Schaub, Martin",P Attinger; L'Age d'homme; Pro Helvetia,cinéma suisse--1964 / 1984
7525,L'histoire suisse en bandes dessinées /,,Delachaux et Niestlé,Suisse--20e siècle; Suisse; Bandes dessinées
7528,Femmes - pouvoir - histoire : événements de l'histoire des femmes et de l'égalité des sexes en Suisse de 1848 à 1998.,,Commission fédérale pour les questions féminines,femme - condition--Suisse--1848 / 1998; égalité des sexes--Suisse--1848 / 1998; féminisme--Suisse--1848 / 1998; Rechtsgeschichte; Geschichte; rechtsgleiche Behandlung; Gleichheit von Mann und Frau; Unterrichtswesen und Berufsausbildung; Femmes; Qualité de la vie; Égalité des sexes; 1848-1998; Féminisme; Schweiz; Suisse
7592,"Language as symbolic action : essays on life literature, and method /","Burke, Kenneth",University of California Press,linguistique--[études diverses]
7593,Die Schriften des Neuen Testaments.,,Vandenhoeck & Ruprecht,
7595,Das Lukasevangelium.,"Schürmann, Heinz",Herder,
7598,Evangile selon saint Luc /,"Lagrange, Marie-Joseph",J Gabalda,"""Bible. NT. Luc"" [commentaire]; critique littéraire--""Bible. NT. Luc"""
7600,Das Evangelium nach Lukas /,"Grundmann, Walter",Evangelische Verlagsanstalt,"""Bible. NT. Luc"" [commentaire]"
7605,Les devoirs.,"Cicero, Marcus Tullius",Les Belles Lettres,
7606,Les devoirs.,"Cicero, Marcus Tullius",Les Belles Lettres,
7621,The librarianist /,"DeWitt, Patrick, 1975-",Bloomsbury Publishing,Oregon--Portland; Fiction; Librarians--Fiction.; Memory--Fiction.; Self-acceptance--Fiction.; Portland (Or.)--Fiction.
7652,"Taranto e il Mediterraneo : atti del quarantunesimo Convegno di studi sulla Magna Grecia, Taranto, 12-16 ottobre 2001",,Istituto per la storia e l'archeologia della Magna Grecia,Tarente (Italie)--Antiquité--[congrès]; Tarente (Italie)--* archéologie--[congrès]; Tarente (Italie)--* topographie historique--[congrès]
7653,Les deipnosophistes /,"Athenaeus, Naucratites",Les Belles Lettres,
7657,Dictionnaire technique de l'estampe /,"Béguin, André",A Béguin; éditeur non identifié,gravure - technique--[dictionnaire]
7666,Memoriale dal carcere svizzero /,"Silone, Ignazio",Lerici,"Silone, Ignazio; Partito socialista italiano (Italie); Réfugiés italiens; 1942-1943; Suisse; [Sources]"
7693,"Espace public, médiations, reconnaissance : éléments de reconstruction d'une théorie critique de la communication /","Voirol, Olivier",éditeur non identifié,espace public--médiation--reconnaissance; communication--théorie critique; communication--Ecole de Francfort--reconnaissance
7721,Lousonna: la ville gallo-romaine et le musée /,,Association Pro Lousonna et autres,"Musée romain de Lausanne-Vidy (Lausanne)--[guide]; Lausanne (Suisse, VD) - Vidy--* archéologie"
7740,Un monde bascule : la Suisse de 1910 à 1919 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1910 / 1919--[photographies]; Suisse--1910 / 1919--[chronologie]
7741,Regard sur une Belle Epoque : la Suisse de 1900 à 1909 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1900 / 1909--[chronologie]; Suisse--1900 / 1909--[photographies]
7742,Avenir incertain... vivons au présent ! : la Suisse de 1980 à 1989 /,"Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1980 / 1989--[chronologie]
7743,De Katmandou à Kaiseraugst : la Suisse de 1970 à 1979 /,"Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1970 / 1979--[chronologie]
7761,La différenciation du soi : les triangles et les systèmes émotifs familiaux /,"Bowen, Murray",Ed ESF,soi - différenciation--structure familiale--thérapie familiale; émotion--famille--personnalité--séparation (psychologie)
7802,Maisons de campagne genevoises du XVIIIe siècle /,"Amsler, Christine",Arts graphiques J Genoud; Domus Antiqua Helvetica,"maison de campagne--Genève (Suisse, canton)--18e s."
7804,"Chalets alpins, chalets urbains",,Association Edimento - pour le patrimoine,
7827,"Les Sévères : Septime Sévère, Caracalla, Geta, Elagabal, Alexandre /","Forni, Pierre",Ellipses,Septime Sévère--(empereur romain ;--0146-0211); Caracalla--(empereur romain ;--0188-0217); Geta--(empereur romain ;--0189-0212); Élagabal--(empereur romain ;--0204-0222); Sévère Alexandre--(0208-0235); Sévères; Empereurs--Rome.; Rome--193-235 (Sévères).; Biographie.
7850,Scholia Graeca in Homeri Iliadem : Scholia vetera /,,W de Gruyter,"Homère.--""Iliade""--[scholies]"
7871,"Domenico Piola e i pittori della sua ""casa"" /","Sanguineti, Daniele",Ed dei Soncino,"Piola, Domenico--(le Vieux); Piola, Domenico--(le Vieux)--[catalogue raisonné]"
7873,Claude Lorrain : the drawings /,"Roethlisberger, Marcel, 1929-",University of California Press,"Lorrain, Claude - dessin--[catalogue raisonné]"
7874,Caricatures /,"Töpffer, Rodolphe",Soc Atar; A Skira,
7878,"""Pour le salut de mon âme"" : les Lausannois face à la mort (XIVe siècle) /","Pasche, Véronique",Section d'histoire Faculté des lettres Université de Lausanne,"testament--Lausanne (Suisse, VD)--14e s.; mort--Lausanne (Suisse, VD)--14e s."
7879,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine
7880,Coutumes et coutumiers : histoire comparative des droits des pays romands du XIIIe à la fin du XVIe siècle /,"Poudret, Jean-François",Staempfli,droit - sources--Suisse romande--13e s. / 16e s.; coutumier--Suisse romande--13e s. / 16e s.; droit coutumier--Suisse romande--13e s. / 16e s.; Rechtsgeschichte; Rechtsquelle; Gewohnheitsrecht; kantonales Recht; Rechtsvergleichung; Rechtssetzung; Notar; Jurist; richterliche Behörde; Schweiz; Genf(Kanton); Jura; Waadt; Neuenburg(Kanton); Wallis; Freiburg(Kanton)
7884,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine
7885,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine
7892,"Brigands et criminels d'habitude : justice et répression à Lausanne, 1475-1550 /","Dorthe, Lionel, 1978-",Bibliothèque historique vaudoise,"Justice; Répression politique; 1474-1550; Lausanne (Suisse, VD)"
7893,Extraits des manuaux du Conseil de Lausanne : (1512 à 1536) /,,G Bridel; éditeur non identifié,"Lausanne (Suisse, VD)--1512 / 1536--[document]"
7894,Histoire des Archives de la Ville de Lausanne des origines à aujourd'hui : (1401-1986) /,"Coutaz, Gilbert, 1954-",Imprimeries Populaires; Archives de la ville,LAUSANNE; ARCHIVES; HISTOIRE
7899,Mémoires de Pierrefleur /,"Pierrefleur, Guillaume de",La Concorde,Geschichte; Schweizergeschichte; kantonales Recht; Vaud (Suisse) - nord--Réforme--1530 / 1561--[document]; Schweiz; Waadt; Chronik
7980,"Lieux de femmes dans l'espace public : 1800-1930 : actes du colloque à l'Université de Lausanne, 11-12 nov. 1991 /",,Université de Lausanne Faculté des lettres Section d'histoire,espace public--femme--Europe--1800 / 1930--[congrès]
8001,Situations /,"Sartre, Jean-Paul",Gallimard,
8008,Traité de criminalistique /,"Locard, Edmond",J Desvigne,
8010,Psychanalyse du crime : six enquêtes criminelles du Docteur Brussels /,"Brussel, James Arnold",Tchou,crime--* psychanalyse
8021,Démonolâtrie et sorcellerie au Moyen Âge : fantasmes et réalités /,"Cohn, Norman, 1915-2007",Payot,Sorcellerie--Moyen âge; Démonologie--Moyen âge; sorcellerie--Moyen-Âge; démon--Moyen-Âge
8026,Les procès d'animaux du Moyen Age à nos jours /,"Vartier, Jean",Hachette,Procès d'animaux; Moyen âge
8112,Histoire de la neutralité suisse : trois siècles de politique extérieure fédérale /,"Bonjour, Edgar",P Attinger; La Baconnière,neutralité--politique étrangère--Suisse--17e s. (fin) / 1945
8136,"La Constitution fédérale de la Suisse : 1848-1948 : ses origines, son élaboration, son évolution /","Rappard, William Emmanuel 1883-1958",Impr Réunies; La Baconnière,"Suisse.--""Constitution de 1848"" - commémoration; Etat fédéral - formation - commémoration--Suisse--1848 / 1948"
8145,Le nazisme : une idéologie en actes /,"Chapoutot, Johann, 1978-",La Documentation photographique,Nationalsozialistische deutsche Arbeiterpartei (Allemagne).--Hitlerjugend; National-socialisme et femmes; National-socialisme; Guerre mondiale (1939-1945); Éducation à l'image
8163,"L'homicide intentionnel : (étude des art. 111, 112, 113, 114 et 116 du Code pénal suisse) /","Disch, Stefan",Imprivite; Université de Lausanne - Faculté de droit,culpabilité (droit)--homicide--Suisse; vorsätzliche Tötung; Mord; Totschlag; Tötung auf Verlangen; Kindestötung; Konkurrenz von Straftaten; Rechtsgeschichte; Rechtsvergleichung; Schweiz; Deutschland; Österreich; Frankreich
8191,Le droit du bail en 400 questions /,"Ansermet, Jacques juriste 19..-....",Propriétaires Services SA une entité de la Chambre vaudoise immobilière,Baux--Droit; Miete; Schweiz
8207,Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre /,"Valous, Guy de",A et J Picard,Ordre de Cluny--origines / 15e s.; abbaye--Bénédictins--Cluny (France)--origines / 15e s.
8208,Rougemont : 9e centenaire : 1080-1980 : choix de textes,,Bibliothèque historique vaudoise,"Rougemont (Suisse, VD)--1080 / 1980--[études diverses]"
8229,Histoire du cinéma suisse d'animation /,"Edera, Bruno",Travelling,cinéma d'animation suisse; ANIMATION: HISTOIRE; SUISSE
8230,Le journal intime /,"Didier, Béatrice",Presses universitaires de France,journal intime
8232,"Malades incurables, vieillards infirmes et enfants difformes : histoire sociale et médicale du corps handicapé en Suisse romande (XIXe-début Xxe siècle) /","Kaba, Mariama",éditeur non identifié,handicapé--* médecine--Suisse romande--19e s. (début) / 20e s.; handicapé--* sociologie--Suisse romande--19e s. (début) / 20e s.
