i,Title,Author,Publisher,Subjects,found_isbn,source
5197,La vie théâtrale et lyrique à Lausanne et dans ses environs dans la seconde moitié du XVIIIe siècle (1757-1798) /,"Lovis, Béatrice",éditeur non identifié,"Théâtre (genre littéraire) suisse--Lausanne (Suisse, région, VD)--18e siècle; Théâtre (genre littéraire)--Histoire et critique--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Spectacles et divertissements--Suisse--Lausanne (Suisse, région, VD)--18e siècle; Thèses et écrits académiques",,None
5272,Lolita : roman /,"Nabokov, Vladimir",La Guilde du livre,,9783499239953,Google
5280,Autoportrait avec artiste : portrait de Valentin Carron /,"Revaz, Noëlle, 1968-",art&fiction,"Carron, Valentin",9782889640614,Google
5338,La correspondance des arts : éléments d'esthétique comparée /,"Souriau, Etienne",Flammarion,art--* philosophie; esthétique--* philosophie,,None
5387,"Les intellectuels, le peuple et la révolution : histoire du populisme russe au XIXe siècle /","Venturi, Franco",Gallimard,populisme (politique)--Russie--19e s.,,None
5389,L'homme du ressentiment /,"Scheler, Max",Gallimard,,9782841007301,Google
5391,"Introduction à la lecture de Hegel : leçons sur la ""Phénoménologie de l'esprit"" professées de 1933 à 1939 à l'Ecole des Hautes-Etudes /Alexandre Kojève ; réunies et publiées par Raymond Queneau","Kojève, Alexandre",Gallimard,"Hegel, Georg Wilhelm Friedrich.--""Phänomenologie des Geistes""",,None
5417,Sans feu ni lieu : [policier] /,"Vargas, Fred, 1957-",V Hamy,,,None
5470,"Les parents pauvres d'Honoré de Balzac : ""La cousine Bette"", ""Le cousin Pons"" : étude historique et critique /","Lorant, André",Libr Droz,"Balzac, Honoré de.--""La cousine Bette""; Balzac, Honoré de.--""Le cousin Pons""",,None
5484,Proust à la lettre : les intermittences de l'écriture /,"Grésillon, Almuth",Du Lérot,"écriture--manuscrit--Proust, Marcel",,None
5511,"Enquête sur Piero Della Francesca : le Baptême, le cycle d'Arezzo, la Flagellation d'Urbino /","Ginzburg, Carlo",Flammarion,"Piero della Francesca.--""Le baptême du Christ""; Piero della Francesca.--""La flagellation du Christ""",,None
5536,Corporate governance and corporate social responsibility : how to tackle environmental imperatives in company law? : legal and management perspectives /,"George, Christophe 19..-....",éditeur non identifié,Unternehmensführung; Corporate Social Responsibility; Umweltschutz; Klimaschutz; Konzern; international; Gesellschaftsrecht; Rechtsvergleichung; Schweiz; Vereinigtes Königreich,9783727249846,Google
5583,Les sciences sociales : sorcellerie des temps modernes? /,"Andreski, Stanislav",Presses universitaires de France,sciences sociales - critique,,None
5605,Le Groupe de Saint-Luc (1919-1945) : expression et quête d'identité d'une société artistique catholique dans l'Europe de l'entre-deux-guerres /,"Noverraz, Camille",éditeur non identifié,Thèses et écrits académiques; Groupe de Saint-Luc (Genève),,None
5648,Le commerce de l'estampe à Paris au XVIIe siècle /,"Grivel, Marianne",Droz,gravure française--marché de l'art--Paris (France)--17e s.,,None
5656,Inventaire et catalogage des périodiques vivants de la Bibliothèque des Cèdres : introduction et rapport de travail /,"Baumgartner, Lina",BCU-Bibliothèque des Cèdres,,,None
5665,"Penser la guerre, Clausewitz /","Aron, Raymond, 1905-1983",Gallimard,"guerre--Clausewitz, Carl von",9789509016613,OpenLibrary
5677,Vie et mort des esclaves dans la Rome antique,"Schmidt, Joël",Ed A Michel,esclavage--Rome; esclave--Rome,9782226199287,Google
5684,En transition douce vers la décroissance /,"Leroux, Alexandre 19..-....",Ulmer,Décroissance soutenable.,9782379221460,Google
5692,Lupa Romana : recherches d'iconographie et essai d'interprétation /,"Dulière, Cécile",Institut historique belge de Rome,art romain antique--louve--3e s. av. J.-C. / 3e s.,,None
5697,Le temple de Bêl à Palmyre /,"Seyrig, Henri",P Geuthner,temple palmyrénien--Palmyre (Syrie) - Temple de Bêl,,None
5699,Mémoires de Pierrefleur /,"Pierrefleur, Guillaume de",La Concorde,,,None
5702,Etudes de moeurs / tome 4,"Balzac, Honoré de",Hébert; Houssiaux,,9780270872620,OpenLibrary
5704,La nausée : [roman] /,"Sartre, Jean-Paul",Gallimard,,,None
5705,L'antisémitisme : son histoire et ses causes /,"Lazare, Bernard",J Crès,,9782382741467,Google
5715,Mémoires /,"Humbert-Droz, Jules",Impr coopératives réunies; A La Baconnière,"Humbert-Droz, Jules; Parti socialiste suisse; Parti suisse du travail (Suisse); Troisième internationale--(1919-1943); communisme international--Humbert-Droz, Jules--1891 / 1971; Pacifisme; Communisme; 20e siècle; [Sources]; [Récits personnels]",9780801856655,OpenLibrary
5744,"Ma vie intime, affective et sexuelle /","Hen, Léa",Institution de Lavigny,Polyhandicapés; Handicapés; Éducation spéciale; Éducateurs spécialisés; Affectivité; Relations amoureuses; Sexualité; Vie pratique; Relations humaines; Communication interpersonnelle; Intimité (psychologie); Éducation sexuelle des handicapés; [Guides pratiques],,None
5758,L'harmonie : traité /,"Paşcanu, Alexandru, 1920-1989",Flash and Go; Dlignes,Harmonie (musique),,None
5780,Les Justes suisses : des actes de courage méconnus au temps de la Shoah /,"Wisard, François",CICAD,Guerre mondiale (1939-1945)--Juifs--Sauvetage--Suisse; Justes des nations pendant la Shoah--Suisse; aide aux victimes--génocide--Juif - protection--guerre mondiale 2--Suisse,,None
5798,Masse et puissance /,"Canetti, Elias, 1905-1994",Gallimard,pouvoir--société de masse,9782070705078,OpenLibrary
5870,La qualité pour recourir en droit de l'aménagement du territoire et de l'environnement : étude de droit fédéral vaudois /,"Pfeiffer, Laurent, 1982-",Schulthess,Parties (procédure); Locus standi; Recours administratifs; Aménagement du territoire; Environnement; Droit; Beschwerdelegitimation; Bundesrecht; kantonales Recht; Verwaltungs- und Verwaltungsgerichtsverfahren; kantonales Rechtsmittel; Beschwerde in öffentlich-rechtlichen Angelegenheiten; Raumplanung und öffentliches Baurecht; Umweltschutz; Natur- und Heimatschutz; Vaud (Suisse); Suisse; Schweiz; Waadt; Suisse - Cantons; [Thèses et écrits académiques],9783725569052,Google
5892,"L'Union nationale, 1932-1939 : un fascisme en Suisse romande /","Joseph, Roger, Docteur ès sciences politiques",Impr centrale; Ed de la Baconnière,fascisme--Union nationale (Suisse romande)--1932 / 1939,,None
5894,Saint-Preyardises : témoignages d'une époque /,"Pittolaz, Sandrine",Imprimerie de Marcelin; Municipalité de Saint-Prex,"Saint-Prex (Suisse, VD)--Histoire; Saint-Prex (Suisse, VD)--Récits personnels",,None
5906,Oeuvres intimes /,Stendhal,Gallimard,,,None
5910,Critique de la vie quotidienne /,"Lefebvre, Henri",L'Arche,,9782381980614,Google
6048,Origines du conflit israélo-arabe (1870‑1950) /,"Bensoussan, Georges",Que sais-je ?,Conflit israélo-arabe--Origines,9782715409330,Google
6081,Rembrandt's etchings : an illustrated critical catalogue /,"White, Christopher",A Zwemmer; Van Gendt,Rembrandt - eau-forte--[catalogue],9780839010616,OpenLibrary
6092,De la littérature considérée dans ses rapports avec les institutions sociales / Madame de Staël ; éd. critique par Paul Van Tieghem,"Staël, Anne-Louise-Germaine de",MJ Minard; Libr Droz,,,None
6096,Le cadastre vaudois au XIXe siècle /,"Monition, Thierry",Impr Chabloz; Bibliothèque historique vaudoise,registre foncier--Vaud (Suisse)--1800 / 1882,,None
6145,Histoire de l'Eglise réformée du Pays de Vaud sous le régime bernois /,"Vuilleumier, Henri",La Concorde,,,None
6181,La démocratie référendaire en Suisse au XXe siècle = Die schweizerische Referendumsdemokratie im XX. Jahrhundert /,nan,Ed universitaires,référendum--Suisse--1900 / 1970,,None
6183,La grève générale de 1918 en Suisse /,nan,Grounauer,Grève générale (Suisse ; 1918); grève générale--Suisse--1918,,None
6185,Le gouvernement vaudois : de 1803 à 1962 : (récit et portraits) /,"Bovard, Pierre-André",Ed de Peyrollaz,pouvoir politique--Vaud (Suisse)--1803 / 1962; gouvernement--Vaud (Suisse)--1803 / 1962; Politique et gouvernement--Vaud (Suisse)--19e siècle; Politique et gouvernement--Vaud (Suisse)--20e siècle,,None
6186,Souvenirs d'un journaliste /,"Bonjour, Félix",Impr vaudoise,,,None
6230,Le rêve éveillé en psychothérapie : essai sur la fonction de régulation de l'inconscient collectif /,"Desoille, Robert",Presses Univ de France,Inconscient collectif; Psychothérapie; Rêve éveillé,,None
6238,"Le Vorort, mythe ou réalité : histoire de l'Union suisse du commerce et de l'industrie, 1870-1970 /","Wehrli, Bernhard",A la Baconnière,Union suisse du commerce et de l'industrie (Suisse).--Vorort--19e siècle; Union suisse du commerce et de l'industrie (Suisse).--Vorort--20e siècle; Union suisse du commerce et de l'industrie (Suisse)--1870 / 1970,,None
6256,Les organisations professionnelles en Suisse /,"Meynaud, Jean",Payot,organisation professionnelle--Suisse--1900 / 1962,,None
6262,"L'Union de défense économique : la bourgeoisie genevoise face à la crise, 1923-1932 /","Cassis, Youssef",Presses universitaires romandes,"Union de défense économique (Genève); crise économique--parti politique--Genève (Suisse, canton)--1923 / 1932",,None
6278,Vygotsky aujourd'hui /,nan,Delachaux & Niestlé,,,None
6293,L'écrivain et le paysan /,"Gachon, Lucien",Ed des Cahiers bourbonnais,écrivain--paysan,,None
6297,Saint-Prex : 1234-1984 /,nan,Imprimerie du Jura chez S et P Bornand; Commune de Saint-Prex,,,None
6299,Entre modernité et nostalgie : la Suisse de 1920 à 1929 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1920 / 1929--[photographies]; Suisse--1920 / 1929--[chronologie],,None
6435,La cathédrale Saint-Nicolas de Fribourg : miroir du gothique européen /,nan,La Bibliothèque des Arts; Fondation pour la conservation de la cathédrale Saint-Nicolas de Fribourg,"cathédrale--Fribourg (Suisse, ville) - Saint Nicolas; Cathédrales; Fribourg (Suisse, ville) - Saint Nicolas",,None
6480,Histoire civile du royaume de Naples /,"Giannone, Pietro",et Isaac Beauregard ie HA Gosse; chez Pierre Gosse,,,None
6499,"La ville de Lausanne : introduction, extension urbaine, ponts, fontaines, édifices religieux (sans la cathédrale), hospitaliers, édifices publics (I) /","Grandjean, Marcel, 1930-",Birkhäuser,"Monuments historiques--Lausanne (Suisse, VD); Tissu urbain--Lausanne (Suisse, VD); monument historique--Lausanne (Suisse, VD); Kunst und Kultur; Kunstgeschichte; Denkmal; Schweiz; Waadt",,None
6510,Le journal de Gibbon à Lausanne : 17 août 1763 - 19 avril 1764 /,"Gibbon, Edward, 1737-1794",F Rouge,,,None
6513,La vie de société dans le Pays de Vaud à la fin du dix-huitième siècle : Salomon et Catherine de Charrière de Sévery et leurs amis /,"Charrière de Sévery, William de",Fischbacher; G Bridel,"Charrière de Sévery, Salomon; Charrière de Sévery, Catherine; vie culturelle--Vaud (Suisse)--18e s. (fin); Vaud (Suisse)--18e s. (fin)",,None
6534,Nishwār al-muḥāḍarah wa-akhbār al-mudhākarah /,"Tanūkhī, al-Muḥassin ibn ʿAlī, 939-994",Dār Ṣādir,Abbassides--(dynastie)--Bureaucratie--Irak--10e siècle; Anecdotes,,None
6536,Bibliographie der Schweizer Presse : mit Einschluss des Fürstentums Liechtenstein = Bibliographie de la presse suisse = Bibliografia della stampa svizzera /,"Blaser, Fritz",Birkhäuser,périodique--Suisse--[bibliographie]; périodique--Liechtenstein (principauté)--[bibliographie]; Geschichte; Schweizergeschichte; Presse; Schweiz; Liechtenstein; Bibliographie,,None
6538,Etudes historiques sur le passé de Vevey /,"Recordon, Edouard, historien",Impr Säuberlin et Pfeiffer; éditeur non identifié,"Vevey (Suisse, VD)--origines / 20e s. (milieu)",,None
6546,"D'ivoire et de marbre : Alexandre et Henri Perregaux ou l'Age d'Or de l'architecture vaudoise, 1770-1850 /","Bissegger, Paul",Bibliothèque historique vaudoise,"architecture suisse vaudoise--Perregaux, Alexandre-Charles de--1770 / 1850; architecture suisse vaudoise--Perregaux, Henri--1770 / 1850",9782884541312,Google
6547,Le Moyen Age romantique au Pays de Vaud : 1825-1850 : premier épanouissement d'une architecture néo-médiévale /,"Bissegger, Paul",Bibliothèque historique vaudoise,église (bâtiment)--Gothic Revival--Vaud (Suisse)--1825 / 1850; château--Gothic Revival--Vaud (Suisse)--1825 / 1850,,None
6599,"La Suisse, ou, L'histoire d'un peuple heureux /","Rougemont, Denis de, 1906-1985",L'Age d'homme,Suisse--origines / 20e s.,9782825127087,Google
6600,La grande transformation : aux origines politiques et économiques de notre temps /,"Polanyi, Karl, 1886-1964",Gallimard,libéralisme économique--* anthropologie politique; société industrielle (milieu humain)--* anthropologie économique--19e s. / 20e s. (1ère moitié); société industrielle (milieu humain)--* anthropologie politique--19e s. / 20e s. (1ère moitié); économie--19e s. / 1944,9782070124749,Google
6604,La Chine : des guerres de l'opium à nos jours /,"Paulès, Xavier, 1973-",La Documentation photographique,19e siècle-21e siècle (début); Histoire; Guerre; Nationalisme; Maoïsme; Économie politique; Géographie; Chine; Chine (république populaire); [Multimédias],,None
6611,La Réforme en Pays de Vaud : 1528-1619 /,"Campiche, Michel",l'Aire,Vaud (Suisse)--Réforme--1528 / 1619,,None
6615,"Scooters, spoutniks et prospérité : la Suisse de 1950 à 1959 /","Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1950 / 1959; Suisse--1950 / 1959--[chronologie],,None
6619,Nouvelle histoire de la Suisse et des Suisses /,nan,Payot,Suisse (peuple)--origines / 20e s.; Suisse--origines / 20e s.,,None
6624,"Lune en direct, manifs en baskets : la Suisse de 1960 à 1969 /","Praz, Anne-Françoise, 1957-",Editions Eiselé,Suisse--1960 / 1969--[chronologie],,None
6670,Théogonie ; Les travaux et les jours ; Le bouclier /,Hesiodus,Les Belles Lettres,,,None
6693,Le baron Bernard /,"Ferrier, Camille J",W Kündig,,,None
6698,Le mariage de Mendelssohn : 1837-1937 /,"Petitpierre, Jacques",Payot,"Mendelssohn-Bartholdy, Cécile--[biographie]; Mendelssohn-Bartholdy, Felix--[biographie]; Jeanrenaud--(famille); Mendelssohn Bartholdy Félix Jakob Ludwig",,None
6730,Répression et psychiatrie ou un siècle de travail à l'hôpital de Cery /,"Cantini, Claude",Psychiatrie pratique,Hôpital de Cery (Prilly); Histoire; Psychiatrie,,None
6732,Oeuvres complètes /,"Brasillach, Robert",Club de l'honnête homme,,,None
6743,Sobranie sochineniĭ v shesti tomakh /,"Leskov, Nikolaĭ Semenovich",Izd Pravda; Bibl Ogonek,,,None
6745,The Mahābhārata /,nan,The Univ of Chicago Press,,,None
6746,"The Mahābhārata, of Krishna-Dwaipayana Vyasa /",nan,M Manoharlal,,,None
6776,Le Comité d'action pour les Etats-Unis d'Europe de Jean Monnet /,"Fontaine, Pascal",Centre de recherches européennes,"Monnet, Jean--Comité d'action pour les Etats Unis d'Europe; intégration européenne--Comité d'action pour les Etats Unis d'Europe",,None
6778,Jean Monnet /,"Rieben, Henri",Impr Réunies; Centre de recherches européennes,"Monnet, Jean",,None
6846,L'architecture hellénique et hellénistique à Délos jusqu'à l'éviction des Déliens (166 av. J.-C.) /,"Vallois, René",Ecole française d'Athènes; E de Boccard,architecture grecque antique--Délos (Grèce)--époque hellénistique,,None
6921,Menander : a commentary /,"Gomme, Arnold Wycombe",At The Univ Press,Ménandre - théâtre (genre littéraire),,None
6945,La maison de Savoie /,"Marie-José, Reine d'Italie",Fondation Humbert II et Marie José de Savoie,Savoie--(Maison de)--14e s. / 15e s. (1ère moitié),9782226162052,OpenLibrary
6947,Schwäbische Kunstgeschichte /,"Koepf, Hans",J Thorbecke,art allemand souabe--11e s. / 18e s.,,None
6948,Le cardinal Mathieu Schiner /,"Büchi, Albert, 1864-1930",Impr Réunies; A La Baconnière,"Schiner, Mathieu--(cardinal)",,None
6950,Histoire de la peinture suisse /,"Fosca, François",Ed du Rhône,peinture suisse--roman (époque) / 20e s. (milieu),,None
6994,L'éthique et la pratique infirmière /,nan,SBK / ASI,Morale; Éthique médicale; Soins infirmiers,,None
7023,De l'insaisissabilité des rentes sur l'Etat /,"Laour, Georges",A Rousseau,,,None
7027,La vice-présidence des Etats-Unis d'Amérique /,"Demeer, Yves",Presses univ de France,vice-président--Etats-Unis,,None
7029,Les ministres dans les principaux pays d'Europe et d'Amérique /,"Dupriez, Léon Hugo",,,,None
7031,Les commissions parlementaires permanentes de la Ve République /,"Loquet, Patrick",Presses universitaires de France,commission parlementaire--France--1958 / 1981,,None
7032,Les institutions de démocratie directe en droit suisse et comparé moderne /,"Battelli, Maurice",Libr du Recueil Sirey,démocratie directe--institutions politiques--Suisse; politische Rechte; Demokratie; Schweiz,,None
7033,Des actions famillae erciscundae et communi dividundo : droit romain ; De l'élaboration et du vote des lois : droit français /,"Blet, Camille",Ch Valin,,,None
7034,La présidence des assemblées politiques /,"Ripert, Henri",Rousseau,,,None
7035,De la distinction des lois constitutionnelles et des lois ordinaires /,"Gajac, Jean",Gounouilhou,,,None
7074,Mélanges Guy Flattet : recueil de travaux offerts à Guy Flattet /,nan,Payot,droit--France--[études diverses]; droit--Suisse--[études diverses]; droit comparé--[études diverses]; droit international privé--Suisse--[études diverses]; droit international--[études diverses]; Festschrift,,None
7084,Etudes sur l'étymologie et le vocabulaire du vieux slave /,"Meillet, Antoine",E Bouillon,slavon (langue),,None
7085,Guerre in ottava rima /,nan,ISR; Panini,,,None
7086,Esperienze ariostesche /,"Segre, Cesare",Nistri-Lischi,Arioste--[études diverses],,None
7108,Plebiszit und pluralitäre Demokratie : eine Analyse der Funktion des schweizerischen Gesetzesreferendums /,"Neidhart, Leonhard",Francke,démocratie--pluralisme (science politique)--Suisse; référendum--Suisse,,None
7165,La Maison de Savoie et le Pays de Vaud /,nan,Bibliothèque historique vaudoise,Savoie--(Maison de)--Vaud (Suisse)--[études diverses],,None
7167,"Mélanges d'histoire et de littérature offerts à Monsieur Charles Gilliard, professeur honoraire de l'Université de Lausanne, à l'occasion de son soixante-cinquième anniversaire /",nan,La Concorde; F Rouge,"insurrection--royalisme--Neuchâtel (Suisse, canton)--Prusse--1856; Suisse--[études diverses]; Vaud (Suisse)--[études diverses]",,None
7168,Frédéric-César de La Harpe : 1754-1838 /,nan,Bibliothèque historique vaudoise,"La Harpe, Frédéric-César de--[biographie]; La Harpe, Frédéric-César de--[études diverses]",,None
7174,La pensée sauvage /,"Lévi-Strauss, Claude, 1908-2009",Plon,totémisme--* ethnologie; mythe--taxonomie--* anthropologie,9780226413112,Google
7200,Documents araméens d'Égypte /,nan,Ed du Cerf,colonie--Juif--papyrus araméen--Eléphantine (Egypte)--6e s. av. J.-C. / 3e s. av. J.-C.--[anthologie],,None
7203,Squilibrio e deficienza mentale in diritto romano /,"Nardi, Enzo",A Giuffrè,,,None
7204,La responsabilité pénale dans l'ancien droit : (XVIe - XVIIIe siècle) /,"Laingui, André",Libr générale de droit et de jurisprudence,,,None
7214,Les oeuvres de Marguerite d'Oingt /,"Marguerite, D'Oingt","Soc d'éd ""Les belles lettres""",,,None
7219,Construction européenne : la révolution d'un continent /,"Grin, Gilles",Fondation Jean Monnet pour l'Europe,Politique et gouvernement--Europe--20e siècle; Europe--Unité,,None
7349,Histoires de manuels et manuels d'histoire dans le canton de Vaud (XIXe-XXe siècles),nan,Société vaudoise d'histoire et d'archéologie,histoire--manuel--Vaud (Suisse)--19e s. / 20e s.--[études diverses]; enseignement--histoire--Vaud (Suisse)--19e s. / 20e s.--[études diverses],,None
7352,Le temps scolaire de l'élève dans le canton de Vaud : quels changements depuis le milieu du XIXe siècle ? /,"Gilliéron Giroud, Patricia",URSP Unité de recherche pour le pilotage des systèmes pédagogiques,enseignement primaire--horaire (temps) - durée--Vaud (Suisse)--1868 / 1997; enseignement secondaire--horaire (temps) - durée--Vaud (Suisse)--1868 / 1997,,None
7353,Art en ville : à la découverte de l'art dans l'espace public lausannois,nan,Service de la culture de la Ville de Lausanne,,,None
7445,L'assomption de la T.S. Vierge dans la tradition byzantine du VIe au Xe siècle : études et documents /,"Wenger, Antoine",Institut français d'études byzantines,Assomption--théologie byzantine--6e s. / 10e s.,,None
7446,La mort et l'assomption de la sainte vierge : étude historico-doctrinale /,"Jugie, Martin",Biblioteca apostolica vaticana,Assomption--* théologie,,None
7467,Apprentissage de la dissertation /,"Dupuis, Sylviane",Département de l'instruction publique Collège Calvin Service & développement,Dissertation; Manuels d'enseignement,,None
7474,"Livre blanc de l'Université de Lausanne sur le doctorat ""honoris causa"" de Benito Mussolini /",nan,Presse et information Université de Lausanne,"doctorat ""honoris causa""--Mussolini, Benito--Université de Lausanne--1937--[document]",,None
7480,Erôs et Agapè : la notion chrétienne de l'amour et ses transformations /,"Nygren, Anders Th.S., 1890-1978",Aubier,amour--christianisme--1er s. / 16e s.; Love--Religious aspects--Christianity,,None
7499,Romans et contes /,Voltaire,Gallimard,,9782110807205,OpenLibrary
7522,"Cinéma suisse : regards critiques, 1896-1987 /","Schlappner, Martin",Centre suisse du cinéma,cinéma suisse--1896 / 1987; HISTOIRE DU CINEMA SUISSE; SUISSE,,None
7523,"L'usage de la liberté : le nouveau cinéma suisse, 1964-1984 /","Schaub, Martin",P Attinger; L'Age d'homme; Pro Helvetia,cinéma suisse--1964 / 1984,,None
7525,L'histoire suisse en bandes dessinées /,nan,Delachaux et Niestlé,Suisse--20e siècle; Suisse; Bandes dessinées,,None
7528,Femmes - pouvoir - histoire : événements de l'histoire des femmes et de l'égalité des sexes en Suisse de 1848 à 1998.,nan,Commission fédérale pour les questions féminines,femme - condition--Suisse--1848 / 1998; égalité des sexes--Suisse--1848 / 1998; féminisme--Suisse--1848 / 1998; Rechtsgeschichte; Geschichte; rechtsgleiche Behandlung; Gleichheit von Mann und Frau; Unterrichtswesen und Berufsausbildung; Femmes; Qualité de la vie; Égalité des sexes; 1848-1998; Féminisme; Schweiz; Suisse,,None
7592,"Language as symbolic action : essays on life literature, and method /","Burke, Kenneth",University of California Press,linguistique--[études diverses],9780520340664,Google
7593,Die Schriften des Neuen Testaments.,nan,Vandenhoeck & Ruprecht,,,None
7595,Das Lukasevangelium.,"Schürmann, Heinz",Herder,,9783451218583,OpenLibrary
7598,Evangile selon saint Luc /,"Lagrange, Marie-Joseph",J Gabalda,"""Bible. NT. Luc"" [commentaire]; critique littéraire--""Bible. NT. Luc""",9781017744828,OpenLibrary
7600,Das Evangelium nach Lukas /,"Grundmann, Walter",Evangelische Verlagsanstalt,"""Bible. NT. Luc"" [commentaire]",,None
7605,Les devoirs.,"Cicero, Marcus Tullius",Les Belles Lettres,,,None
7606,Les devoirs.,"Cicero, Marcus Tullius",Les Belles Lettres,,,None
7621,The librarianist /,"DeWitt, Patrick, 1975-",Bloomsbury Publishing,Oregon--Portland; Fiction; Librarians--Fiction.; Memory--Fiction.; Self-acceptance--Fiction.; Portland (Or.)--Fiction.,9780063085121,OpenLibrary
7652,"Taranto e il Mediterraneo : atti del quarantunesimo Convegno di studi sulla Magna Grecia, Taranto, 12-16 ottobre 2001",nan,Istituto per la storia e l'archeologia della Magna Grecia,Tarente (Italie)--Antiquité--[congrès]; Tarente (Italie)--* archéologie--[congrès]; Tarente (Italie)--* topographie historique--[congrès],,None
7653,Les deipnosophistes /,"Athenaeus, Naucratites",Les Belles Lettres,,,None
7657,Dictionnaire technique de l'estampe /,"Béguin, André",A Béguin; éditeur non identifié,gravure - technique--[dictionnaire],9782903319021,OpenLibrary
7666,Memoriale dal carcere svizzero /,"Silone, Ignazio",Lerici,"Silone, Ignazio; Partito socialista italiano (Italie); Réfugiés italiens; 1942-1943; Suisse; [Sources]",,None
7693,"Espace public, médiations, reconnaissance : éléments de reconstruction d'une théorie critique de la communication /","Voirol, Olivier",éditeur non identifié,espace public--médiation--reconnaissance; communication--théorie critique; communication--Ecole de Francfort--reconnaissance,,None
7721,Lousonna: la ville gallo-romaine et le musée /,nan,Association Pro Lousonna et autres,"Musée romain de Lausanne-Vidy (Lausanne)--[guide]; Lausanne (Suisse, VD) - Vidy--* archéologie",,None
7740,Un monde bascule : la Suisse de 1910 à 1919 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1910 / 1919--[photographies]; Suisse--1910 / 1919--[chronologie],,None
7741,Regard sur une Belle Epoque : la Suisse de 1900 à 1909 /,"Praz, Anne-Françoise, 1957-",Eiselé,monde--Suisse--1900 / 1909--[chronologie]; Suisse--1900 / 1909--[photographies],,None
7742,Avenir incertain... vivons au présent ! : la Suisse de 1980 à 1989 /,"Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1980 / 1989--[chronologie],,None
7743,De Katmandou à Kaiseraugst : la Suisse de 1970 à 1979 /,"Praz, Anne-Françoise, 1957-",Eiselé,Suisse--1970 / 1979--[chronologie],,None
7761,La différenciation du soi : les triangles et les systèmes émotifs familiaux /,"Bowen, Murray",Ed ESF,soi - différenciation--structure familiale--thérapie familiale; émotion--famille--personnalité--séparation (psychologie),,None
7802,Maisons de campagne genevoises du XVIIIe siècle /,"Amsler, Christine",Arts graphiques J Genoud; Domus Antiqua Helvetica,"maison de campagne--Genève (Suisse, canton)--18e s.",,None
7804,"Chalets alpins, chalets urbains",nan,Association Edimento - pour le patrimoine,,,None
7827,"Les Sévères : Septime Sévère, Caracalla, Geta, Elagabal, Alexandre /","Forni, Pierre",Ellipses,Septime Sévère--(empereur romain ;--0146-0211); Caracalla--(empereur romain ;--0188-0217); Geta--(empereur romain ;--0189-0212); Élagabal--(empereur romain ;--0204-0222); Sévère Alexandre--(0208-0235); Sévères; Empereurs--Rome.; Rome--193-235 (Sévères).; Biographie.,9782340074668,Google
7850,Scholia Graeca in Homeri Iliadem : Scholia vetera /,nan,W de Gruyter,"Homère.--""Iliade""--[scholies]",,None
7871,"Domenico Piola e i pittori della sua ""casa"" /","Sanguineti, Daniele",Ed dei Soncino,"Piola, Domenico--(le Vieux); Piola, Domenico--(le Vieux)--[catalogue raisonné]",,None
7873,Claude Lorrain : the drawings /,"Roethlisberger, Marcel, 1929-",University of California Press,"Lorrain, Claude - dessin--[catalogue raisonné]",,None
7874,Caricatures /,"Töpffer, Rodolphe",Soc Atar; A Skira,,,None
7878,"""Pour le salut de mon âme"" : les Lausannois face à la mort (XIVe siècle) /","Pasche, Véronique",Section d'histoire Faculté des lettres Université de Lausanne,"testament--Lausanne (Suisse, VD)--14e s.; mort--Lausanne (Suisse, VD)--14e s.",,None
7879,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine,,None
7880,Coutumes et coutumiers : histoire comparative des droits des pays romands du XIIIe à la fin du XVIe siècle /,"Poudret, Jean-François",Staempfli,droit - sources--Suisse romande--13e s. / 16e s.; coutumier--Suisse romande--13e s. / 16e s.; droit coutumier--Suisse romande--13e s. / 16e s.; Rechtsgeschichte; Rechtsquelle; Gewohnheitsrecht; kantonales Recht; Rechtsvergleichung; Rechtssetzung; Notar; Jurist; richterliche Behörde; Schweiz; Genf(Kanton); Jura; Waadt; Neuenburg(Kanton); Wallis; Freiburg(Kanton),,None
7884,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine,,None
7885,Médecine et santé dans le Pays de Vaud /,"Olivier, Eugène",Payot,History of Medicine,,None
7892,"Brigands et criminels d'habitude : justice et répression à Lausanne, 1475-1550 /","Dorthe, Lionel, 1978-",Bibliothèque historique vaudoise,"Justice; Répression politique; 1474-1550; Lausanne (Suisse, VD)",,None
7893,Extraits des manuaux du Conseil de Lausanne : (1512 à 1536) /,nan,G Bridel; éditeur non identifié,"Lausanne (Suisse, VD)--1512 / 1536--[document]",,None
7894,Histoire des Archives de la Ville de Lausanne des origines à aujourd'hui : (1401-1986) /,"Coutaz, Gilbert, 1954-",Imprimeries Populaires; Archives de la ville,LAUSANNE; ARCHIVES; HISTOIRE,,None
7899,Mémoires de Pierrefleur /,"Pierrefleur, Guillaume de",La Concorde,Geschichte; Schweizergeschichte; kantonales Recht; Vaud (Suisse) - nord--Réforme--1530 / 1561--[document]; Schweiz; Waadt; Chronik,,None
