book_id,users_borrowed,dates_borrowed,total_borrows
1594,"2437, 6465, 168, 98","15-09-2023, 26-03-2024, 02-04-2024, 31-05-2024",4
1595,"826, 826, 826, 826","24-04-2023, 28-08-2023, 15-12-2023, 18-01-2024",4
1596,"1841, 1785, 565","27-03-2023, 25-08-2023, 03-11-2023",3
1597,"99, 99, 99, 99, 99","14-01-2023, 08-05-2023, 29-08-2023, 20-12-2023, 13-04-2024",5
1598,"99, 99, 99, 99, 99","14-01-2023, 08-05-2023, 29-08-2023, 20-12-2023, 13-04-2024",5
1599,"99, 99, 99, 99, 99","14-01-2023, 08-05-2023, 29-08-2023, 20-12-2023, 13-04-2024",5
1600,"99, 4920, 1036, 1790, 665","14-01-2023, 03-02-2023, 23-03-2023, 12-06-2023, 22-09-2023",5
1601,"474, 99, 99, 99, 1462","25-02-2023, 16-03-2023, 27-06-2023, 18-10-2023, 19-04-2024",5
1602,"734, 99, 2153, 4868, 5917, 7192","24-04-2023, 08-05-2023, 10-06-2023, 01-03-2024, 15-05-2024, 05-07-2024",6
1603,"1851, 458, 391, 3310, 99, 1073","27-01-2023, 23-02-2023, 20-03-2023, 26-04-2023, 26-05-2023, 19-06-2024",6
1604,"1803, 5032, 1803, 99, 4474, 3684","04-04-2023, 14-04-2023, 02-05-2023, 26-05-2023, 08-07-2023, 25-10-2023",6
1605,"4801, 5353, 99, 99, 3703","18-01-2023, 01-05-2023, 27-06-2023, 18-10-2023, 12-02-2024",5
1606,"2208, 2208, 1201, 99, 1646","25-01-2023, 16-02-2023, 02-05-2023, 27-06-2023, 11-12-2023",5
1607,"1970, 2296, 1316, 892, 99, 99, 99, 99","25-02-2023, 03-04-2023, 03-06-2023, 10-07-2023, 25-07-2023, 17-11-2023, 09-03-2024, 04-07-2024",8
1608,"391, 99, 642","05-06-2023, 29-08-2023, 28-12-2023",3
1609,"2661, 3418, 99, 99, 99","29-09-2023, 24-10-2023, 28-10-2023, 21-02-2024, 11-06-2024",5
1610,"99, 2570, 1133, 795","05-01-2024, 21-03-2024, 11-05-2024, 05-07-2024",4
1611,"3643, 499, 4421, 4868, 951, 99, 2433, 4868, 132, 1395","12-01-2023, 20-03-2023, 08-05-2023, 14-06-2023, 08-09-2023, 21-02-2024, 11-03-2024, 22-03-2024, 18-04-2024, 05-06-2024",10
1612,"99, 2880, 573, 99","22-03-2024, 22-04-2024, 07-05-2024, 11-06-2024",4
1613,"1297, 6540, 1862, 2552, 2395, 99","24-02-2023, 26-04-2023, 22-06-2023, 26-07-2023, 24-01-2024, 13-04-2024",6
1614,"1625, 1309, 3684, 3303, 99","14-09-2023, 01-11-2023, 24-11-2023, 07-02-2024, 08-05-2024",5
1615,"2559, 305, 3531, 3703, 99","26-07-2023, 03-08-2023, 06-03-2024, 28-05-2024, 04-07-2024",5
1616,"5752, 305, 3703, 3926, 3926, 3703, 99","14-06-2023, 28-07-2023, 19-02-2024, 12-03-2024, 11-04-2024, 19-04-2024, 04-07-2024",7
1617,"4649, 1359, 636, 5326, 2823, 5472, 7405, 2036, 7548, 99","13-01-2023, 31-01-2023, 06-02-2023, 07-03-2023, 03-07-2023, 02-10-2023, 21-12-2023, 06-02-2024, 06-06-2024, 17-07-2024",10
1618,"1359, 636, 5326, 802, 5472, 7405, 2036, 7213","31-01-2023, 06-02-2023, 07-03-2023, 15-06-2023, 02-10-2023, 21-12-2023, 06-02-2024, 22-08-2024",8
1619,"636, 5015, 4218, 6859, 5472, 574, 2823, 2500, 7387, 7405, 1537, 4121, 2036, 7213","23-01-2023, 11-02-2023, 02-03-2023, 06-03-2023, 28-04-2023, 08-05-2023, 12-06-2023, 16-06-2023, 25-09-2023, 03-10-2023, 12-10-2023, 05-12-2023, 06-02-2024, 16-04-2024",14
1620,"5502, 2823, 636, 6490, 4177, 603, 1808, 3949, 5472, 1864, 461, 7548","22-06-2023, 15-07-2023, 02-08-2023, 21-08-2023, 04-09-2023, 27-09-2023, 05-12-2023, 06-02-2024, 27-02-2024, 20-03-2024, 03-04-2024, 06-06-2024",12
1621,"1047, 5326, 636, 5757, 1359, 1632, 189, 3643, 5502, 2638, 703, 4161, 6420, 1808, 2036, 1864, 7548","28-01-2023, 07-03-2023, 07-03-2023, 14-03-2023, 14-03-2023, 04-04-2023, 01-05-2023, 05-06-2023, 22-06-2023, 11-07-2023, 12-09-2023, 18-11-2023, 28-11-2023, 05-12-2023, 06-02-2024, 05-04-2024, 06-06-2024",17
1622,"1359, 636, 5326, 1632, 5502, 2823, 1808, 2036, 7548","31-01-2023, 06-02-2023, 07-03-2023, 06-04-2023, 22-06-2023, 03-07-2023, 05-12-2023, 06-02-2024, 06-06-2024",9
1623,"2101, 6935, 1538","19-01-2023, 18-03-2023, 11-07-2023",3
1624,1900,18-07-2024,1
1625,"2798, 2798, 4109","03-01-2023, 20-04-2023, 23-06-2023",3
1626,"949, 977, 827, 213","29-08-2023, 02-10-2023, 18-11-2023, 19-03-2024",4
1627,"5051, 100, 100, 100, 100, 100, 100, 5822","29-08-2023, 03-01-2024, 08-02-2024, 23-04-2024, 23-04-2024, 22-05-2024, 22-05-2024, 27-08-2024",8
1628,"100, 100, 100, 100, 100","03-01-2024, 07-02-2024, 08-02-2024, 23-04-2024, 23-04-2024",5
1629,"1094, 1094, 2195, 101, 919, 2195","15-02-2023, 15-06-2023, 13-09-2023, 04-10-2023, 21-11-2023, 01-02-2024",6
1630,"2263, 5191, 101, 919","02-03-2023, 01-04-2023, 10-10-2023, 23-10-2023",4
1631,"101, 2669, 1139","10-10-2023, 07-11-2023, 13-03-2024",3
1632,"3661, 4246, 101","23-03-2023, 22-09-2023, 06-12-2023",3
1633,"2121, 4406","06-12-2023, 26-06-2024",2
1634,"3505, 3505, 102, 3179","17-01-2023, 06-04-2023, 06-09-2023, 07-02-2024",4
1635,"1022, 202, 6364, 1022, 2206, 736, 102, 7279","09-01-2023, 27-03-2023, 21-08-2023, 22-08-2023, 19-09-2023, 11-01-2024, 31-01-2024, 23-08-2024",8
1636,"6530, 5240, 6556, 102","15-02-2023, 09-11-2023, 02-05-2024, 05-09-2024",4
1637,"5240, 6138, 2121, 6556","09-11-2023, 02-02-2024, 23-02-2024, 25-04-2024",4
1638,"2117, 103, 1698, 2254, 760, 1445, 542, 6958, 1849, 6924, 7102, 1154","06-01-2023, 17-01-2023, 07-02-2023, 14-02-2023, 06-04-2023, 25-05-2023, 26-05-2023, 21-06-2023, 02-08-2023, 04-08-2023, 29-08-2023, 06-04-2024",12
1639,"3628, 103, 2406, 501, 3909, 1538, 1200, 1113, 2421, 3254","09-01-2023, 24-01-2023, 23-02-2023, 05-04-2023, 07-06-2023, 11-07-2023, 09-09-2023, 26-09-2023, 28-09-2023, 23-01-2024",10
1640,"6583, 103, 4828, 137, 1318","09-01-2023, 24-01-2023, 07-02-2023, 24-02-2023, 06-09-2023",5
1641,"1526, 103, 2538, 5995, 304, 1212, 6074, 1286, 6026, 3274","28-06-2023, 23-09-2023, 06-10-2023, 20-10-2023, 01-11-2023, 13-12-2023, 14-12-2023, 08-01-2024, 31-01-2024, 05-03-2024",10
1642,"1058, 103, 5998, 1052","14-07-2023, 23-09-2023, 18-12-2023, 19-02-2024",4
1643,"1052, 1763, 935, 103, 1200, 935","15-05-2023, 12-06-2023, 29-08-2023, 21-11-2023, 12-02-2024, 06-03-2024",6
1644,"2421, 957, 1247, 5896, 1134, 2421, 567, 103","06-04-2023, 01-05-2023, 08-06-2023, 12-06-2023, 19-07-2023, 23-08-2023, 20-09-2023, 27-02-2024",8
1645,"2421, 845, 103, 1673","10-02-2024, 21-02-2024, 05-04-2024, 12-08-2024",4
1646,"362, 7053, 1046, 3187, 5995, 5955, 1578, 2645, 7147, 3371, 254, 103, 7638, 2406, 1737, 1992","23-01-2024, 24-01-2024, 31-01-2024, 05-02-2024, 06-02-2024, 08-02-2024, 11-03-2024, 11-03-2024, 16-03-2024, 27-03-2024, 03-04-2024, 05-04-2024, 15-04-2024, 15-05-2024, 21-05-2024, 27-05-2024",16
1647,"2097, 2919, 103, 7406","07-12-2023, 18-01-2024, 22-04-2024, 23-05-2024",4
1648,"1052, 1744, 2412, 5472, 352, 3674, 362, 2128, 2682, 3558, 785, 2957, 2957, 714, 2296, 2762, 1742, 629, 343, 103, 880","20-09-2023, 26-09-2023, 29-09-2023, 03-10-2023, 12-10-2023, 18-10-2023, 20-10-2023, 21-10-2023, 07-11-2023, 08-11-2023, 08-11-2023, 27-11-2023, 19-12-2023, 22-12-2023, 08-02-2024, 15-02-2024, 23-02-2024, 27-03-2024, 08-04-2024, 03-06-2024, 19-06-2024",21
1649,"5475, 2512, 5472, 465, 2137, 1603, 2296, 573, 103, 7598","27-11-2023, 06-12-2023, 19-12-2023, 06-01-2024, 16-01-2024, 04-03-2024, 25-03-2024, 30-04-2024, 03-06-2024, 21-06-2024",10
1650,"605, 7637, 103","06-07-2023, 19-04-2024, 18-06-2024",3
1652,"3524, 7725","21-05-2024, 07-06-2024",2
1653,"1967, 236, 452","06-03-2024, 17-05-2024, 21-06-2024",3
1654,"104, 627, 1661, 1815, 540, 540","27-01-2023, 16-03-2023, 18-04-2023, 30-05-2023, 19-09-2023, 09-01-2024",6
1655,"5756, 4742, 104, 4935, 5786","07-02-2023, 11-09-2023, 20-09-2023, 21-09-2023, 06-11-2023",5
1656,"804, 709, 104, 3332, 4920","17-07-2023, 31-07-2023, 20-09-2023, 03-10-2023, 14-12-2023",5
1657,"6613, 436","04-04-2024, 27-05-2024",2
1658,"105, 1563, 3237","11-01-2023, 15-05-2024, 23-08-2024",3
1659,"3106, 105, 2541","18-01-2023, 05-04-2023, 14-02-2024",3
1660,"3659, 2100, 4920, 752, 105, 6939, 1489, 4906, 2612, 1978, 4181, 7034, 1592, 224, 1592","02-02-2023, 31-03-2023, 20-04-2023, 25-04-2023, 27-05-2023, 11-09-2023, 16-09-2023, 13-11-2023, 13-12-2023, 10-01-2024, 29-01-2024, 20-02-2024, 27-02-2024, 28-03-2024, 15-04-2024",15
1661,"4928, 1069, 2412, 4445","02-03-2023, 21-03-2023, 06-10-2023, 12-12-2023",4
1662,"106, 1767, 3419, 176, 3419, 1123, 600, 2736","03-03-2023, 09-06-2023, 02-08-2023, 16-11-2023, 21-11-2023, 11-03-2024, 15-07-2024, 19-09-2024",8
1663,"4935, 106, 1767, 4935, 4935, 2731, 2655, 2655","17-01-2023, 03-03-2023, 19-05-2023, 22-06-2023, 14-08-2023, 20-12-2023, 19-02-2024, 21-02-2024",8
1664,"106, 3419, 3419, 4935, 2921, 1903, 1903","03-03-2023, 20-04-2023, 30-08-2023, 10-10-2023, 06-11-2023, 23-04-2024, 04-07-2024",7
1665,"6507, 4434, 6398, 2962, 6507, 6288, 6438, 1901, 3090, 2655, 2655, 1599, 1599, 2736, 6507","09-01-2023, 16-01-2023, 26-01-2023, 08-02-2023, 10-02-2023, 27-02-2023, 16-10-2023, 18-11-2023, 12-01-2024, 19-02-2024, 21-02-2024, 30-05-2024, 14-09-2024, 19-09-2024, 25-09-2024",15
1666,"3107, 6084","21-03-2023, 27-04-2023",2
1667,"310, 107, 3962, 5705, 107, 6613, 6613","19-01-2023, 17-03-2023, 24-08-2023, 28-08-2023, 30-08-2023, 07-09-2023, 26-04-2024",7
1668,"553, 553, 107, 506, 506, 3993, 3993, 3993, 1121, 2720, 2720, 2720, 2720, 2720","24-01-2023, 30-01-2023, 21-04-2023, 25-09-2023, 17-10-2023, 16-11-2023, 16-11-2023, 04-01-2024, 05-04-2024, 23-04-2024, 23-04-2024, 23-04-2024, 13-05-2024, 13-05-2024",14
1669,"7408, 4017, 3934, 6261","07-11-2023, 11-04-2024, 20-04-2024, 17-05-2024",4
1670,5080,22-08-2023,1
1671,"5466, 108, 3081, 5466","30-01-2023, 01-02-2023, 18-04-2024, 06-05-2024",4
1672,"6338, 108, 2957","27-03-2023, 24-05-2023, 01-06-2023",3
1673,"1406, 2076, 108, 611","15-02-2023, 17-05-2023, 17-06-2023, 28-07-2023",4
1674,"558, 108, 2953","31-03-2023, 19-07-2023, 24-08-2023",3
1675,"827, 108, 108, 108, 108","14-01-2023, 27-10-2023, 27-10-2023, 16-02-2024, 16-02-2024",5
1676,"3529, 1774, 1774, 3231, 1321, 108, 4162, 4162, 1158","25-02-2023, 29-03-2023, 24-08-2023, 18-12-2023, 15-01-2024, 27-02-2024, 03-04-2024, 03-04-2024, 02-05-2024",9
1677,"2941, 3805, 5518, 2590, 3805, 1926, 3803, 752, 506, 108","04-01-2023, 02-02-2023, 13-02-2023, 04-04-2023, 26-05-2023, 12-06-2023, 20-09-2023, 20-10-2023, 06-03-2024, 29-04-2024",10
1678,"4485, 4485, 4485, 108","23-01-2023, 24-05-2023, 25-09-2023, 15-07-2024",4
1679,"4412, 2981, 2140, 2140","13-01-2023, 15-03-2023, 22-09-2023, 13-10-2023",4
1680,"2239, 5718, 2140, 5477, 643","06-01-2023, 27-04-2023, 22-09-2023, 15-11-2023, 18-06-2024",5
1681,"2981, 1141, 1141, 643","27-02-2023, 22-08-2023, 26-02-2024, 18-06-2024",4
1682,"710, 109, 1046, 2134, 2421, 605, 1740","03-03-2023, 01-04-2023, 04-05-2023, 17-05-2023, 25-05-2023, 30-06-2023, 19-12-2023",7
1683,"361, 109, 2153, 2512, 2376, 2153, 3251, 1744, 7070, 2581, 382, 949, 2581","22-02-2023, 01-04-2023, 20-04-2023, 26-05-2023, 24-06-2023, 10-10-2023, 06-11-2023, 14-11-2023, 21-12-2023, 09-01-2024, 25-01-2024, 19-02-2024, 29-04-2024",13
1684,"575, 1659, 356, 929, 109, 3706, 4196, 2483, 1995, 7006, 737, 1686, 2512, 511, 5032, 253, 247, 1669, 1669, 1718, 1775, 3333, 3720, 6268","21-02-2023, 20-03-2023, 13-04-2023, 17-05-2023, 12-06-2023, 23-08-2023, 31-08-2023, 19-09-2023, 09-10-2023, 06-11-2023, 24-11-2023, 22-12-2023, 09-01-2024, 15-01-2024, 07-02-2024, 14-02-2024, 21-02-2024, 22-02-2024, 27-02-2024, 25-03-2024, 04-04-2024, 06-06-2024, 27-06-2024, 30-08-2024",24
1685,"1744, 109, 6596, 2400, 1284, 1420","14-06-2023, 29-08-2023, 30-10-2023, 27-12-2023, 01-02-2024, 03-06-2024",6
1686,"637, 857, 1191, 2268, 4968, 3014, 254, 277, 1060, 3166, 2514, 2429, 7377, 109, 1046, 1181, 2381, 7573, 5405, 329, 666, 4843, 4445, 148, 5063, 7577, 3682, 497","19-04-2023, 24-04-2023, 09-05-2023, 23-05-2023, 09-06-2023, 12-06-2023, 21-06-2023, 23-06-2023, 23-08-2023, 28-08-2023, 04-09-2023, 29-09-2023, 04-10-2023, 14-10-2023, 06-11-2023, 07-11-2023, 08-11-2023, 03-12-2023, 11-01-2024, 19-02-2024, 20-02-2024, 23-03-2024, 06-04-2024, 19-04-2024, 27-04-2024, 04-05-2024, 24-06-2024, 22-08-2024",28
1687,"436, 2857, 206, 940, 2978, 2378, 986, 109, 1756","05-01-2023, 30-01-2023, 28-04-2023, 08-06-2023, 12-07-2023, 04-09-2023, 02-10-2023, 04-11-2023, 15-05-2024",9
1688,"2096, 906, 441, 1201, 2153, 4196, 737, 2041, 992, 109","19-01-2023, 21-02-2023, 17-03-2023, 24-04-2023, 08-05-2023, 08-07-2023, 23-08-2023, 20-09-2023, 25-10-2023, 09-02-2024",10
1689,"1094, 1032, 2880, 109, 1535","04-01-2024, 12-01-2024, 25-01-2024, 09-02-2024, 06-07-2024",5
1690,"109, 3274, 1121, 1691, 522, 7759","26-04-2024, 16-05-2024, 22-05-2024, 17-06-2024, 17-07-2024, 04-09-2024",6
1692,"172, 1538, 4828, 1583, 438, 153","13-01-2023, 22-02-2023, 28-03-2023, 12-04-2023, 27-05-2023, 28-10-2023",6
1693,"2266, 110, 2841, 1519, 3962","20-01-2023, 24-02-2023, 02-06-2023, 19-12-2023, 21-12-2023",5
1694,"110, 6767","18-08-2023, 28-03-2024",2
1695,110,18-08-2023,1
1696,"1954, 2268, 1492, 5321, 110, 5049, 7169","07-02-2023, 25-04-2023, 25-05-2023, 13-06-2023, 18-08-2023, 09-10-2023, 21-03-2024",7
1697,"927, 5755, 5029, 110, 5029, 5758, 4043, 5029, 6797","06-02-2023, 24-04-2023, 27-04-2023, 18-08-2023, 19-09-2023, 03-10-2023, 06-11-2023, 10-01-2024, 29-01-2024",9
1698,"7050, 7050, 110, 110, 7606, 7606, 2417","01-09-2023, 01-09-2023, 08-09-2023, 08-09-2023, 13-03-2024, 13-03-2024, 25-05-2024",7
1699,"1776, 413, 110","14-06-2023, 20-09-2023, 03-10-2023",3
1700,"819, 602, 819, 2056, 6286, 4096, 6286","25-01-2023, 25-02-2023, 23-06-2023, 20-02-2024, 28-03-2024, 08-04-2024, 24-09-2024",7
1701,"5715, 1510, 3999, 977","09-01-2023, 08-05-2023, 25-08-2023, 27-09-2023",4
1702,"111, 111, 3794, 428, 428, 4863, 2623","23-01-2023, 30-01-2023, 13-03-2023, 14-06-2023, 14-06-2023, 16-02-2024, 08-04-2024",7
1703,"111, 1026","13-02-2023, 20-02-2024",2
1704,"111, 3006, 4988, 6015, 6015, 2996","24-02-2023, 08-03-2023, 25-10-2023, 29-01-2024, 23-03-2024, 23-03-2024",6
1705,"111, 5012, 5003, 5003, 2231, 2231, 2231, 2231","03-03-2023, 07-03-2023, 27-10-2023, 31-10-2023, 03-11-2023, 03-11-2023, 03-11-2023, 03-11-2023",8
1706,"111, 4521","03-03-2023, 16-05-2023",2
1707,"111, 3116, 1704, 1233","25-03-2023, 04-09-2023, 03-01-2024, 07-05-2024",4
1708,"1370, 111, 111","10-03-2023, 03-04-2023, 15-04-2024",3
1709,"6622, 111, 2793, 4323, 111, 3663, 6060, 7621, 7333, 1080, 7329, 1304, 7329","24-03-2023, 03-04-2023, 15-05-2023, 14-12-2023, 09-01-2024, 15-02-2024, 23-02-2024, 05-03-2024, 26-03-2024, 04-04-2024, 08-05-2024, 21-08-2024, 26-09-2024",13
1710,"111, 1601, 1601, 1601","03-04-2023, 23-05-2023, 01-09-2023, 16-01-2024",4
1711,"111, 1228, 1601, 5967, 6879, 3431, 2896, 2896, 111, 111, 3431, 3431, 7329","03-04-2023, 03-04-2023, 27-04-2023, 12-07-2023, 16-10-2023, 02-11-2023, 08-11-2023, 20-12-2023, 19-01-2024, 29-01-2024, 02-07-2024, 03-07-2024, 26-09-2024",13
1712,"2374, 111, 4354, 611, 611, 5003, 5003","14-02-2023, 29-04-2023, 09-05-2023, 03-08-2023, 21-11-2023, 12-02-2024, 26-06-2024",7
1713,"2185, 111, 1316, 2338, 5960","21-06-2023, 28-08-2023, 28-03-2024, 07-04-2024, 23-04-2024",5
1714,"1446, 111, 226, 2556","01-03-2023, 04-10-2023, 17-02-2024, 04-07-2024",4
1715,"2332, 111, 2481, 4498","20-06-2023, 23-10-2023, 17-01-2024, 01-05-2024",4
1716,"216, 216, 111, 2178, 2178","10-01-2023, 20-06-2023, 26-10-2023, 30-04-2024, 26-06-2024",5
1717,"1719, 111, 111, 111, 111","27-01-2023, 01-11-2023, 03-01-2024, 14-02-2024, 12-06-2024",5
1718,"3096, 3096, 3096, 111, 111","03-03-2023, 05-04-2023, 07-07-2023, 29-11-2023, 03-01-2024",5
1719,"5162, 5132, 2741, 2096, 4352, 1275, 3642, 3642, 2741, 2127, 2741, 3445, 111, 111, 2748, 3445, 4299, 4299, 3149, 3752, 4346, 7678, 2983","02-02-2023, 03-02-2023, 17-02-2023, 24-02-2023, 06-03-2023, 18-03-2023, 31-03-2023, 31-05-2023, 12-10-2023, 21-10-2023, 27-10-2023, 27-10-2023, 05-12-2023, 05-12-2023, 20-12-2023, 09-01-2024, 30-01-2024, 30-01-2024, 02-02-2024, 28-02-2024, 28-03-2024, 19-04-2024, 16-07-2024",23
1720,"1253, 284, 111, 3663","12-07-2023, 22-11-2023, 05-12-2023, 21-05-2024",4
1721,"6472, 6051, 6051, 922, 1651, 6051, 6051, 502, 922, 1651, 1253, 3584, 3369, 3568, 5164, 1722, 3768, 2312, 4393, 3594, 6051, 922, 1722, 1651, 4301, 922, 1651, 502, 502, 1388, 1368, 1368, 3122, 4153, 1855, 6472, 6051, 6051, 3445, 922, 1651, 6051, 6051, 2231, 111, 1855, 6051, 6051, 4717, 4717, 7012, 6472, 7615, 2352, 1203, 1203, 1651, 4642, 4642, 111, 400, 922, 3122, 1689, 1689, 6051, 6051, 4108, 1940, 502, 3122, 3122, 2643, 922, 7756","09-01-2023, 16-01-2023, 16-01-2023, 20-01-2023, 24-01-2023, 31-01-2023, 31-01-2023, 31-01-2023, 02-02-2023, 03-02-2023, 13-02-2023, 21-02-2023, 03-03-2023, 03-03-2023, 09-03-2023, 13-03-2023, 24-03-2023, 24-04-2023, 26-04-2023, 27-04-2023, 08-05-2023, 24-05-2023, 24-05-2023, 30-05-2023, 12-06-2023, 03-07-2023, 07-07-2023, 14-07-2023, 14-07-2023, 14-07-2023, 04-08-2023, 04-08-2023, 07-08-2023, 21-08-2023, 23-08-2023, 20-09-2023, 18-10-2023, 18-10-2023, 20-10-2023, 25-10-2023, 30-10-2023, 15-11-2023, 15-11-2023, 24-11-2023, 06-12-2023, 07-12-2023, 14-12-2023, 14-12-2023, 21-12-2023, 21-12-2023, 21-12-2023, 10-01-2024, 12-01-2024, 22-01-2024, 23-01-2024, 23-01-2024, 29-01-2024, 29-01-2024, 29-01-2024, 31-01-2024, 07-02-2024, 12-02-2024, 05-03-2024, 02-04-2024, 02-04-2024, 08-04-2024, 08-04-2024, 09-04-2024, 11-04-2024, 12-04-2024, 14-05-2024, 23-05-2024, 05-06-2024, 05-06-2024, 02-07-2024",75
1722,"1368, 1368, 111, 111, 1715, 7693","13-01-2023, 07-07-2023, 01-02-2024, 20-02-2024, 03-04-2024, 11-04-2024",6
1723,"502, 1598, 1237, 3382, 6879, 7615, 5149, 111, 5466, 2643","31-01-2023, 17-02-2023, 06-06-2023, 07-09-2023, 16-10-2023, 12-01-2024, 12-02-2024, 04-03-2024, 12-03-2024, 06-05-2024",10
1724,"3757, 3037, 2158, 4459, 2189, 3037, 6015, 118, 111, 7442","15-08-2023, 20-09-2023, 22-09-2023, 19-10-2023, 27-10-2023, 24-11-2023, 04-01-2024, 16-02-2024, 07-03-2024, 26-03-2024",10
1725,"1010, 1010, 1010, 2730, 1010, 1010, 111","19-01-2023, 11-05-2023, 24-08-2023, 10-10-2023, 14-12-2023, 04-04-2024, 10-04-2024",7
1726,"390, 3726, 2537, 1302, 111, 3445","01-11-2023, 13-11-2023, 21-12-2023, 22-01-2024, 30-04-2024, 23-08-2024",6
1727,"3757, 4153","08-09-2023, 25-10-2023",2
1728,"2045, 2481, 2185, 1795, 3684, 1995, 1942, 2185, 2338","05-04-2023, 06-06-2023, 13-06-2023, 08-12-2023, 01-02-2024, 01-03-2024, 14-03-2024, 11-04-2024, 08-05-2024",9
1729,"196, 196, 196, 1388, 196","30-01-2023, 06-07-2023, 31-01-2024, 21-02-2024, 05-07-2024",5
1730,"196, 196, 196","30-01-2023, 06-07-2023, 31-01-2024",3
1731,"395, 395, 1795","13-04-2023, 17-08-2023, 29-11-2023",3
1732,"425, 4382, 6916, 4382, 4973, 3949, 2108, 1095, 573, 3853, 1443, 4409, 6627, 2208, 112, 4445, 583","22-05-2023, 25-05-2023, 20-06-2023, 20-06-2023, 22-06-2023, 21-08-2023, 13-09-2023, 19-09-2023, 04-10-2023, 05-10-2023, 13-10-2023, 26-10-2023, 13-11-2023, 21-11-2023, 28-11-2023, 06-04-2024, 08-04-2024",17
1733,"1309, 3520, 2065, 770, 1072, 4979, 112","01-03-2023, 10-03-2023, 17-03-2023, 18-04-2023, 09-05-2023, 13-06-2023, 28-11-2023",7
1734,"1755, 2100, 1096, 3885, 5405, 1864, 112, 4978, 5487","11-04-2023, 24-04-2023, 23-08-2023, 18-10-2023, 09-11-2023, 19-12-2023, 30-01-2024, 22-02-2024, 15-05-2024",9
1735,"1186, 710, 3134, 1146, 3909","10-01-2023, 18-02-2023, 30-09-2023, 15-01-2024, 23-02-2024",5
1736,"113, 563, 563, 1280","05-04-2023, 07-07-2023, 17-10-2023, 22-04-2024",4
1737,"1517, 290, 1501, 7002, 113, 290, 2433, 2198, 2552, 262, 1998, 3271, 1051, 1397","07-02-2023, 25-04-2023, 12-05-2023, 17-05-2023, 25-08-2023, 28-08-2023, 19-09-2023, 17-10-2023, 02-02-2024, 12-02-2024, 01-03-2024, 03-04-2024, 21-06-2024, 08-07-2024",14
1738,"1650, 7191, 1507, 3837","03-06-2023, 29-08-2023, 04-10-2023, 10-10-2023",4
1739,"765, 765, 765, 1108, 1108","16-01-2023, 11-05-2023, 28-08-2023, 24-11-2023, 24-11-2023",5
1740,"3337, 467, 467, 1057, 6004, 467, 467, 836, 467, 467, 114","30-01-2023, 07-02-2023, 07-02-2023, 24-04-2023, 20-06-2023, 12-07-2023, 12-07-2023, 08-09-2023, 15-02-2024, 15-02-2024, 05-03-2024",11
1741,"836, 2986, 114","28-09-2023, 12-02-2024, 05-03-2024",3
1742,"2335, 5189, 4525, 4962, 997, 2335, 4432, 2789, 5207, 5195, 2335, 1782, 1782, 2335, 1782, 7275, 1782, 114","24-02-2023, 07-03-2023, 14-03-2023, 10-05-2023, 13-06-2023, 28-06-2023, 22-09-2023, 11-10-2023, 11-10-2023, 08-11-2023, 04-12-2023, 08-12-2023, 19-01-2024, 24-01-2024, 17-04-2024, 08-05-2024, 13-05-2024, 07-08-2024",18
1743,"4508, 7369, 7369","07-02-2023, 24-11-2023, 29-01-2024",3
1744,"158, 929, 4197, 2714, 115","11-04-2023, 19-04-2023, 02-10-2023, 18-01-2024, 24-01-2024",5
1745,"1803, 1575, 115, 3234, 1837","27-10-2023, 02-12-2023, 24-01-2024, 23-03-2024, 01-05-2024",5
1746,"2164, 3601, 3601, 3669, 3669, 3669, 1423, 5677, 5677, 5677, 115, 4884, 4884, 4884, 115, 1910","11-01-2023, 25-04-2023, 25-04-2023, 31-05-2023, 31-05-2023, 31-05-2023, 11-09-2023, 12-10-2023, 12-10-2023, 12-10-2023, 24-01-2024, 19-04-2024, 19-04-2024, 19-04-2024, 22-05-2024, 10-09-2024",16
1747,"3011, 6198, 115, 6198, 3183, 221","26-04-2023, 11-05-2023, 28-02-2024, 01-03-2024, 23-04-2024, 01-10-2024",6
1748,"535, 904, 1007, 6275, 6275, 115","01-06-2023, 06-09-2023, 15-11-2023, 09-01-2024, 17-01-2024, 09-10-2024",6
1749,"511, 1309, 2231","31-01-2024, 06-03-2024, 27-05-2024",3
1750,"1583, 2874, 1960, 1563, 1583, 2815, 1960, 3318, 204, 1939, 116, 2589","17-01-2023, 11-02-2023, 15-03-2023, 16-03-2023, 31-03-2023, 17-04-2023, 03-05-2023, 10-05-2023, 08-06-2023, 18-07-2023, 13-09-2023, 08-05-2024",12
1751,"435, 435, 6306","01-04-2023, 22-12-2023, 17-01-2024",3
1752,"1793, 5326, 4946, 5029, 3074, 498, 5029, 6306, 545, 6198, 1768, 6588, 237","15-02-2023, 24-02-2023, 16-03-2023, 22-09-2023, 19-10-2023, 20-12-2023, 10-01-2024, 11-01-2024, 29-01-2024, 26-03-2024, 12-06-2024, 20-06-2024, 20-08-2024",13
1753,"117, 1095, 2971, 561, 1272, 2425","10-01-2023, 15-03-2023, 14-10-2023, 07-12-2023, 17-01-2024, 04-06-2024",6
1754,"3853, 117, 5760","06-03-2023, 05-04-2023, 26-05-2023",3
1755,"1309, 2409, 117, 7697, 1094, 1094, 2457","28-01-2023, 20-03-2023, 24-05-2023, 12-04-2024, 17-05-2024, 04-07-2024, 11-09-2024",7
